L1_Marks_Class,L2_Marks_Class,L3_Marks_Class,S1_Marks_Class,S2_Marks_Class,S3_Marks_Class,NRC_CLASS
PASS,FAIL,PASS,PASS,2,PASS,FAIL
PASS,1,2,PASS,PASS,1,2
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
1,D,PASS,1,1,1,1
1,PASS,PASS,2,PASS,1,2
2,1,PASS,PASS,PASS,PASS,PASS
1,1,PASS,PASS,PASS,1,2
N/A,PASS,PASS,N/A,FAIL,N/A,FAIL
PASS,PASS,PASS,PASS,PASS,2,PASS
1,1,PASS,PASS,PASS,1,2
PASS,D,2,2,1,D,1
1,1,PASS,2,PASS,PASS,2
1,D,1,2,PASS,PASS,1
D,1,1,1,1,1,1
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
PASS,PASS,PASS,2,PASS,2,PASS
1,1,1,PASS,2,1,1
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
PASS,2,PASS,PASS,PASS,PASS,PASS
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
1,PASS,PASS,2,2,2,2
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
1,D,1,PASS,2,1,1
FAIL,1,FAIL,PASS,FAIL,PASS,FAIL
1,PASS,PASS,1,PASS,2,2
1,D,1,1,2,PASS,1
PASS,PASS,PASS,FAIL,FAIL,2,FAIL
FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
PASS,PASS,PASS,1,PASS,PASS,PASS
1,D,D,1,1,D,1
PASS,PASS,PASS,N/A,FAIL,N/A,FAIL
FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL
2,1,1,1,PASS,2,2
1,D,1,2,PASS,1,1
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
1,1,2,2,PASS,1,1
2,1,1,1,1,1,1
PASS,2,PASS,PASS,FAIL,FAIL,FAIL
1,2,PASS,PASS,PASS,PASS,PASS
PASS,1,PASS,1,2,1,2
PASS,PASS,PASS,PASS,PASS,2,PASS
FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL
D,1,1,1,1,D,1
PASS,PASS,PASS,PASS,PASS,PASS,PASS
PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
1,1,1,1,1,1,1
2,PASS,2,PASS,PASS,PASS,PASS
FAIL,2,PASS,PASS,PASS,2,FAIL
PASS,PASS,PASS,PASS,PASS,PASS,PASS
D,D,1,1,1,1,1
FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL
FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
PASS,PASS,PASS,PASS,FAIL,PASS,FAIL
1,2,1,PASS,PASS,PASS,PASS
2,PASS,FAIL,FAIL,FAIL,2,FAIL
FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL
1,1,D,2,1,1,1
PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,PASS,FAIL,FAIL,PASS,FAIL,FAIL
1,2,1,1,PASS,1,1
1,PASS,2,1,PASS,1,1
PASS,N/A,PASS,PASS,PASS,PASS,FAIL
2,1,1,1,1,1,1
D,1,1,2,1,1,1
1,D,1,1,1,D,1
FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
2,1,1,1,1,1,1
FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
D,1,1,1,1,D,1
1,1,1,2,PASS,2,1
FAIL,PASS,PASS,2,PASS,PASS,FAIL
PASS,2,PASS,PASS,PASS,1,PASS
PASS,PASS,2,1,2,PASS,2
FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL
1,D,1,2,2,PASS,1
FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL
1,1,1,PASS,2,1,1
PASS,PASS,PASS,PASS,PASS,2,PASS
PASS,PASS,FAIL,PASS,PASS,PASS,FAIL
PASS,2,PASS,2,PASS,PASS,PASS
PASS,1,PASS,PASS,PASS,1,PASS
1,2,PASS,FAIL,PASS,FAIL,FAIL
D,D,D,D,D,D,D   
FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL
PASS,1,2,PASS,PASS,PASS,PASS
FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
D,1,PASS,PASS,FAIL,FAIL,FAIL
FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
1,1,2,1,2,1,1
FAIL,FAIL,PASS,PASS,FAIL,PASS,FAIL
1,PASS,PASS,PASS,2,PASS,PASS
PASS,PASS,PASS,1,PASS,1,PASS
2,PASS,PASS,PASS,PASS,PASS,PASS
1,2,2,1,PASS,PASS,2
FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL
1,D,D,1,2,D,1
1,PASS,1,2,PASS,2,2
PASS,1,2,1,PASS,1,2
1,D,D,2,1,1,1
PASS,1,1,2,2,1,2
PASS,2,PASS,PASS,PASS,1,PASS
PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
1,PASS,PASS,1,PASS,PASS,PASS
PASS,PASS,FAIL,PASS,FAIL,PASS,FAIL
1,PASS,PASS,PASS,PASS,1,PASS
1,1,1,2,PASS,PASS,1
2,1,1,PASS,2,1,1
1,PASS,1,2,PASS,2,2
PASS,PASS,PASS,PASS,PASS,PASS,PASS
FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
1,D,1,2,2,1,1
1,PASS,PASS,PASS,PASS,PASS,PASS
N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
FAIL,PASS,FAIL,FAIL,2,PASS,FAIL
1,1,1,2,1,2,1
1,PASS,FAIL,PASS,PASS,1,FAIL
PASS,D,1,1,1,D,1
2,PASS,PASS,PASS,2,PASS,PASS
PASS,1,1,PASS,PASS,1,2
PASS,PASS,PASS,2,PASS,1,PASS
2,2,PASS,PASS,PASS,1,PASS
PASS,1,1,2,2,1,2
PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
2,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
1,1,PASS,PASS,2,1,1
2,1,PASS,PASS,PASS,PASS,PASS
D,D,D,D,D,D,D   
PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL
1,2,1,1,1,1,1
FAIL,PASS,PASS,PASS,PASS,1,FAIL
FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL
PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL
1,PASS,FAIL,FAIL,FAIL,PASS,FAIL
PASS,PASS,PASS,PASS,PASS,PASS,PASS
FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL
PASS,D,PASS,1,2,1,2
FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL
PASS,PASS,PASS,PASS,PASS,PASS,PASS
PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL
D,1,PASS,PASS,2,2,2
FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL
PASS,2,FAIL,FAIL,FAIL,FAIL,FAIL
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
1,PASS,1,PASS,PASS,1,2
1,1,1,1,1,1,1
FAIL,PASS,FAIL,PASS,PASS,PASS,FAIL
1,D,1,PASS,PASS,1,1
1,PASS,1,2,PASS,PASS,2
1,1,2,PASS,PASS,1,1
FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
1,1,1,1,PASS,1,1
FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
1,1,1,PASS,2,D,1
1,D,D,1,1,D,D   
PASS,PASS,PASS,PASS,PASS,PASS,FAIL
1,1,1,1,1,D,1
FAIL,2,PASS,PASS,PASS,PASS,FAIL
PASS,PASS,1,PASS,PASS,PASS,PASS
PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL
D,D,1,PASS,PASS,1,1
FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
PASS,PASS,PASS,PASS,PASS,PASS,PASS
PASS,PASS,PASS,2,PASS,PASS,PASS
PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
1,2,2,1,PASS,2,2
FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL
PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
FAIL,2,2,1,PASS,1,FAIL
D,PASS,PASS,PASS,PASS,PASS,PASS
PASS,2,PASS,PASS,PASS,PASS,PASS
D,D,1,2,2,1,1
1,D,D,1,1,D,D   
PASS,PASS,PASS,PASS,PASS,2,PASS
2,PASS,PASS,PASS,PASS,PASS,PASS
FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL
2,PASS,PASS,PASS,PASS,PASS,PASS
1,2,PASS,2,2,1,2
FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
D,D,D,D,1,1,D   
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
FAIL,PASS,FAIL,FAIL,PASS,2,FAIL
1,PASS,PASS,PASS,PASS,PASS,PASS
2,1,1,1,2,1,1
PASS,2,PASS,2,PASS,2,PASS
1,1,PASS,PASS,2,1,2
PASS,PASS,PASS,1,PASS,2,PASS
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
1,D,D,1,1,1,1
D,PASS,PASS,PASS,2,PASS,2
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
1,PASS,PASS,PASS,PASS,PASS,PASS
PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
PASS,2,FAIL,FAIL,FAIL,PASS,FAIL
1,1,D,1,PASS,1,1
1,1,1,1,2,1,1
PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL
1,D,D,1,D,1,1
PASS,PASS,PASS,PASS,PASS,1,PASS
FAIL,2,FAIL,FAIL,PASS,FAIL,FAIL
2,PASS,PASS,PASS,PASS,PASS,PASS
PASS,N/A,N/A,PASS,PASS,2,FAIL
FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
1,PASS,PASS,PASS,PASS,PASS,PASS
D,1,D,1,1,D,1
PASS,PASS,PASS,PASS,PASS,PASS,PASS
D,D,D,1,1,D,D   
PASS,2,1,2,PASS,2,2
FAIL,PASS,1,FAIL,FAIL,2,FAIL
D,D,D,D,D,D,D   
2,PASS,PASS,1,PASS,1,2
PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,D,1,2,1,1,1
1,1,PASS,2,1,1,1
FAIL,2,FAIL,PASS,PASS,FAIL,FAIL
1,1,PASS,PASS,PASS,2,2
FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL
N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
1,D,PASS,1,1,D,1
1,1,1,2,1,1,1
1,2,PASS,PASS,PASS,PASS,PASS
1,PASS,FAIL,FAIL,PASS,2,FAIL
PASS,PASS,PASS,PASS,PASS,2,PASS
PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,PASS,1,2,2,2,2
PASS,PASS,PASS,PASS,PASS,PASS,PASS
FAIL,2,PASS,PASS,FAIL,2,FAIL
2,PASS,PASS,2,PASS,PASS,PASS
PASS,1,PASS,2,2,2,2
PASS,PASS,PASS,PASS,PASS,PASS,PASS
PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL
1,1,1,PASS,PASS,PASS,2
2,PASS,PASS,PASS,PASS,PASS,PASS
N/A,PASS,2,1,PASS,1,FAIL
1,FAIL,FAIL,PASS,PASS,PASS,FAIL
1,D,1,1,2,2,1
PASS,FAIL,N/A,PASS,PASS,N/A,FAIL
PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL
1,1,1,1,PASS,PASS,1
1,2,2,2,PASS,PASS,PASS
2,PASS,1,1,2,1,1
1,D,1,1,2,1,1
1,1,1,1,PASS,1,1
PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL
2,PASS,PASS,1,PASS,PASS,PASS
PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
D,D,D,D,D,D,D   
1,PASS,1,1,2,2,1
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
FAIL,2,PASS,FAIL,FAIL,PASS,FAIL
D,D,D,1,1,2,1
PASS,PASS,PASS,PASS,PASS,PASS,PASS
PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL
1,2,PASS,1,2,1,2
FAIL,FAIL,PASS,FAIL,FAIL,2,FAIL
PASS,PASS,PASS,PASS,PASS,PASS,PASS
PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
PASS,PASS,PASS,1,PASS,PASS,PASS
2,2,PASS,1,1,1,2
FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
PASS,2,PASS,PASS,PASS,2,PASS
PASS,FAIL,PASS,2,PASS,PASS,FAIL
PASS,1,PASS,PASS,PASS,1,PASS
1,PASS,PASS,1,PASS,1,2
1,1,PASS,PASS,2,PASS,2
2,PASS,PASS,PASS,PASS,2,PASS
FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL
FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
1,1,D,1,PASS,2,1
PASS,PASS,PASS,2,PASS,PASS,PASS
1,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
1,PASS,2,D,1,1,1
1,1,1,1,2,1,1
1,D,1,1,PASS,PASS,1
PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL
FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,1,2,2,1,D,1
2,1,PASS,2,PASS,1,2
1,1,1,2,PASS,1,1
FAIL,2,FAIL,FAIL,PASS,PASS,FAIL
PASS,PASS,PASS,PASS,PASS,2,PASS
FAIL,PASS,PASS,PASS,PASS,2,FAIL
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
1,2,1,1,PASS,1,1
PASS,PASS,PASS,1,2,PASS,PASS
FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL
D,1,1,1,2,1,1
FAIL,PASS,PASS,PASS,FAIL,1,FAIL
PASS,PASS,PASS,PASS,PASS,2,PASS
1,1,PASS,1,PASS,1,2
1,D,D,1,1,1,1
FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
1,1,PASS,PASS,PASS,1,2
FAIL,1,PASS,FAIL,PASS,2,FAIL
PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,PASS,PASS,PASS,PASS,1,2
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
2,PASS,PASS,PASS,PASS,PASS,PASS
PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
1,1,1,1,PASS,PASS,2
PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL
1,D,2,1,2,1,1
D,D,1,D,D,D,D   
1,PASS,PASS,PASS,PASS,PASS,PASS
2,FAIL,PASS,2,PASS,2,FAIL
PASS,PASS,PASS,PASS,PASS,PASS,PASS
FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL
1,D,1,1,1,1,1
1,FAIL,FAIL,D,1,1,1
FAIL,PASS,PASS,FAIL,PASS,2,FAIL
PASS,PASS,PASS,PASS,2,2,PASS
1,1,1,D,1,D,1
FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
2,1,PASS,2,2,1,2
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
D,PASS,PASS,PASS,2,PASS,PASS
PASS,PASS,PASS,1,PASS,2,PASS
PASS,PASS,PASS,PASS,PASS,FAIL,FAIL
1,1,PASS,PASS,PASS,2,2
PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL
1,1,1,1,PASS,2,1
PASS,PASS,PASS,PASS,2,PASS,PASS
PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL
D,1,1,1,1,1,1
1,1,PASS,PASS,PASS,PASS,PASS
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
PASS,PASS,FAIL,PASS,FAIL,PASS,FAIL
D,D,D,D,1,D,D   
2,PASS,PASS,PASS,PASS,PASS,PASS
1,1,2,2,PASS,1,2
D,D,D,1,1,1,1
D,D,D,1,1,1,1
PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
FAIL,N/A,N/A,N/A,FAIL,N/A,FAIL
PASS,PASS,PASS,PASS,FAIL,PASS,FAIL
1,D,1,1,1,1,1
PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
2,FAIL,PASS,FAIL,FAIL,PASS,FAIL
1,1,1,2,2,1,1
1,PASS,PASS,2,PASS,1,2
1,D,1,1,PASS,2,1
1,2,1,1,2,1,1
2,PASS,1,PASS,PASS,1,PASS
PASS,PASS,PASS,PASS,FAIL,PASS,FAIL
FAIL,PASS,FAIL,FAIL,FAIL,PASS,FAIL
PASS,2,PASS,2,FAIL,FAIL,FAIL
N/A,PASS,PASS,1,1,1,FAIL
2,PASS,PASS,PASS,PASS,2,PASS
PASS,PASS,PASS,PASS,PASS,PASS,PASS
FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL
2,1,PASS,PASS,PASS,PASS,PASS
PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,1,2,2,2,2,2
D,1,1,1,1,1,1
PASS,PASS,PASS,2,PASS,PASS,PASS
D,D,D,1,1,D,D   
FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL
1,2,2,1,PASS,2,2
PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL
N/A,FAIL,FAIL,N/A,FAIL,N/A,FAIL
D,D,D,D,D,D,D   
PASS,1,PASS,PASS,PASS,2,PASS
FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL
FAIL,1,FAIL,FAIL,PASS,1,FAIL
PASS,1,1,2,2,1,1
PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL
1,PASS,2,1,1,1,1
1,2,1,1,PASS,1,1
1,PASS,PASS,PASS,PASS,PASS,PASS
PASS,1,PASS,2,2,1,PASS
PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
FAIL,2,PASS,PASS,PASS,2,FAIL
PASS,1,PASS,PASS,2,1,2
PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL
1,D,1,1,1,D,1
2,FAIL,PASS,FAIL,PASS,PASS,FAIL
PASS,PASS,PASS,PASS,PASS,PASS,PASS
PASS,2,1,PASS,PASS,2,PASS
PASS,PASS,PASS,FAIL,PASS,PASS,FAIL
2,PASS,PASS,PASS,PASS,2,PASS
1,PASS,2,PASS,PASS,1,2
1,PASS,PASS,PASS,PASS,PASS,PASS
1,PASS,PASS,PASS,PASS,2,PASS
FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL
N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
PASS,FAIL,PASS,FAIL,FAIL,1,FAIL
PASS,2,PASS,PASS,1,1,PASS
D,D,D,1,1,D,D   
N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
1,2,PASS,2,PASS,1,2
PASS,2,2,PASS,PASS,2,PASS
1,1,1,1,D,D,1
2,PASS,PASS,PASS,PASS,PASS,PASS
D,D,D,1,1,D,D   
FAIL,PASS,2,FAIL,FAIL,PASS,FAIL
FAIL,PASS,2,PASS,PASS,2,FAIL
1,D,D,D,D,D,D   
PASS,1,FAIL,PASS,PASS,PASS,FAIL
PASS,1,2,1,PASS,1,2
PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,1,1,2,2,1,1
PASS,1,2,2,1,PASS,2
D,PASS,D,PASS,PASS,2,1
FAIL,FAIL,PASS,PASS,FAIL,PASS,FAIL
1,PASS,D,1,1,1,1
2,D,2,1,2,D,1
1,1,1,2,2,1,1
D,D,D,D,1,D,D   
1,1,1,PASS,1,D,1
1,D,1,D,1,D,1
2,2,2,PASS,PASS,1,PASS
2,D,D,1,2,1,1
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
FAIL,FAIL,D,FAIL,PASS,FAIL,FAIL
1,1,PASS,1,2,2,2
PASS,D,1,2,2,1,1
1,2,1,PASS,PASS,2,2
1,D,D,1,1,1,1
PASS,PASS,2,PASS,PASS,PASS,PASS
D,D,D,1,1,1,D   
D,D,D,1,D,D,D   
D,D,D,D,D,D,D   
1,1,2,2,PASS,1,1
1,PASS,1,FAIL,FAIL,FAIL,FAIL
1,PASS,PASS,1,2,D,1
PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,PASS,PASS,PASS,PASS,PASS,PASS
1,D,1,1,2,1,1
FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL
2,D,PASS,1,1,1,1
1,PASS,2,PASS,PASS,PASS,PASS
PASS,1,1,PASS,2,1,2
PASS,1,2,PASS,PASS,1,2
PASS,PASS,PASS,PASS,PASS,2,PASS
1,1,1,D,1,D,1
1,PASS,1,PASS,1,1,2
FAIL,1,PASS,PASS,FAIL,FAIL,FAIL
2,1,PASS,1,1,1,1
2,1,PASS,2,PASS,2,2
N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
PASS,1,1,PASS,PASS,2,2
1,1,2,PASS,PASS,2,2
PASS,PASS,PASS,PASS,PASS,PASS,PASS
N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
1,PASS,PASS,2,PASS,PASS,PASS
FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL
D,D,D,D,D,D,D   
PASS,1,1,1,1,D,1
1,PASS,PASS,PASS,PASS,PASS,PASS
PASS,PASS,PASS,PASS,PASS,2,PASS
1,D,1,1,1,2,1
1,PASS,2,PASS,PASS,PASS,PASS
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
D,D,D,1,1,D,D   
FAIL,2,PASS,FAIL,PASS,PASS,FAIL
1,1,PASS,PASS,PASS,PASS,2
1,2,1,1,2,2,1
FAIL,PASS,PASS,2,FAIL,PASS,FAIL
D,PASS,D,2,1,2,1
1,D,D,D,1,D,D   
N/A,N/A,PASS,N/A,FAIL,N/A,FAIL
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
D,D,D,1,D,D,D   
PASS,1,PASS,PASS,PASS,1,PASS
2,PASS,1,1,PASS,PASS,2
2,FAIL,PASS,PASS,PASS,2,FAIL
1,1,2,PASS,PASS,2,2
1,1,1,1,PASS,2,1
1,1,1,1,2,1,1
2,2,PASS,2,PASS,PASS,PASS
2,FAIL,FAIL,PASS,FAIL,PASS,FAIL
2,PASS,PASS,FAIL,FAIL,2,FAIL
1,2,PASS,1,2,1,2
PASS,2,1,1,2,1,2
PASS,PASS,1,PASS,PASS,2,PASS
1,PASS,PASS,PASS,PASS,PASS,PASS
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
1,1,PASS,PASS,2,1,2
1,1,1,1,2,1,1
FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL
D,D,D,D,1,D,D   
1,2,1,1,1,1,1
FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL
PASS,2,PASS,1,1,2,2
2,PASS,PASS,PASS,PASS,PASS,PASS
PASS,PASS,2,PASS,PASS,1,PASS
N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
D,1,D,1,1,1,1
FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL
1,PASS,2,1,2,1,1
FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,PASS,1,1,2,D,1
FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL
1,D,D,FAIL,D,D,D   
D,D,D,D,D,D,D   
D,D,D,D,D,D,D   
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
PASS,2,PASS,1,2,PASS,PASS
PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL
FAIL,PASS,PASS,2,FAIL,PASS,FAIL
1,2,1,1,2,D,1
1,2,1,1,2,2,1
PASS,N/A,N/A,PASS,2,N/A,FAIL
