SCHOOL_CODE,Pass Percentage,Observation,,,,,,,Mean,77.53852777
AN0062,100.00,Reward,,,,,,,,
AN0063,47.06,Reward,,,,,,,,
AN0065,0.00,Normal,,,,,,,,
AN0068,0.00,Normal,,,,,,,,
AN0070,33.33,Reward,,,,,,,,
AN0071,60.00,Reward,,,,,,,,
AN0072,100.00,Reward,,,,,,,,
AN0073,0.00,Normal,,,,,,,,
AN0074,0.00,Normal,,,,,,,,
AN0075,66.67,Reward,,,,,,,,
AN0076,33.33,Reward,,,,,,,,
AN0077,100.00,Reward,,,,,,,,
AN0079,52.38,Reward,,,,,,,,
AN0080,70.00,Reward,,,,,,,,
AN0081,80.00,Reward,,,,,,,,
AN0083,22.22,Reward,,,,,,,,
AN0084,50.00,Reward,,,,,,,,
AN0090,100.00,Reward,,,,,,,,
AN0091,100.00,Reward,,,,,,,,
AN0092,71.43,Reward,,,,,,,,
AN0093,28.57,Reward,,,,,,,,
AN0094,52.63,Reward,,,,,,,,
AN0095,0.00,Normal,,,,,,,,
AN0096,66.67,Reward,,,,,,,,
AN0098,25.00,Reward,,,,,,,,
AN0099,50.00,Reward,,,,,,,,
AN0100,70.00,Reward,,,,,,,,
AN0101,100.00,Reward,,,,,,,,
AN0102,100.00,Reward,,,,,,,,
AN0104,75.00,Reward,,,,,,,,
AN0106,83.33,Reward,,,,,,,,
AN0107,0.00,Normal,,,,,,,,
AN0108,100.00,Reward,,,,,,,,
AN0109,100.00,Reward,,,,,,,,
AN0111,42.86,Reward,,,,,,,,
AN0112,0.00,Normal,,,,,,,,
AN0113,66.67,Reward,,,,,,,,
AN0114,100.00,Reward,,,,,,,,
AN0116,100.00,Reward,,,,,,,,
AN0118,100.00,Reward,,,,,,,,
AN0119,100.00,Reward,,,,,,,,
AN0120,100.00,Reward,,,,,,,,
AN0121,0.00,Normal,,,,,,,,
AN0122,50.00,Reward,,,,,,,,
AN0123,50.00,Reward,,,,,,,,
AN0124,40.00,Reward,,,,,,,,
AN0125,100.00,Reward,,,,,,,,
AN0126,100.00,Reward,,,,,,,,
AN0127,100.00,Reward,,,,,,,,
AN0128,50.00,Reward,,,,,,,,
AN0129,33.33,Reward,,,,,,,,
AN0130,0.00,Normal,,,,,,,,
AN0131,100.00,Reward,,,,,,,,
AN0133,100.00,Reward,,,,,,,,
AN0136,66.67,Reward,,,,,,,,
AN0138,0.00,Normal,,,,,,,,
AN0139,100.00,Reward,,,,,,,,
AN0140,80.00,Reward,,,,,,,,
AN0141,33.33,Reward,,,,,,,,
AN0142,41.67,Reward,,,,,,,,
AN0143,33.33,Reward,,,,,,,,
AN0144,75.00,Reward,,,,,,,,
AN0148,16.67,Reward,,,,,,,,
AN0149,100.00,Reward,,,,,,,,
AN0150,83.33,Reward,,,,,,,,
AN0152,50.00,Reward,,,,,,,,
AN0153,100.00,Reward,,,,,,,,
AN0156,50.00,Reward,,,,,,,,
AN0157,100.00,Reward,,,,,,,,
AN0158,100.00,Reward,,,,,,,,
AN0159,85.71,Reward,,,,,,,,
AN0160,100.00,Reward,,,,,,,,
AN0161,83.33,Reward,,,,,,,,
AN0162,100.00,Reward,,,,,,,,
AN0164,50.00,Reward,,,,,,,,
AN0165,66.67,Reward,,,,,,,,
AN0166,66.67,Reward,,,,,,,,
AN0167,63.64,Reward,,,,,,,,
AN0168,100.00,Reward,,,,,,,,
AN0169,100.00,Reward,,,,,,,,
AN0171,0.00,Normal,,,,,,,,
AN0172,0.00,Normal,,,,,,,,
AN0173,0.00,Normal,,,,,,,,
AN0174,20.00,Reward,,,,,,,,
AN0175,100.00,Reward,,,,,,,,
AN0176,85.71,Reward,,,,,,,,
AN0177,80.00,Reward,,,,,,,,
AN0178,0.00,Normal,,,,,,,,
AN0179,50.00,Reward,,,,,,,,
AN0180,100.00,Reward,,,,,,,,
AN0182,100.00,Reward,,,,,,,,
AN0183,75.00,Reward,,,,,,,,
AN0185,50.00,Reward,,,,,,,,
AN0186,83.33,Reward,,,,,,,,
AN0187,70.00,Reward,,,,,,,,
AN0189,100.00,Reward,,,,,,,,
AN0190,100.00,Reward,,,,,,,,
AN0191,57.14,Reward,,,,,,,,
AN0192,100.00,Reward,,,,,,,,
AN0193,0.00,Normal,,,,,,,,
AN0194,100.00,Reward,,,,,,,,
AN0195,0.00,Normal,,,,,,,,
AN0196,100.00,Reward,,,,,,,,
AN0197,100.00,Reward,,,,,,,,
AN0198,100.00,Reward,,,,,,,,
AN0199,0.00,Normal,,,,,,,,
AN0200,100.00,Reward,,,,,,,,
AN0201,75.00,Reward,,,,,,,,
AN0202,100.00,Reward,,,,,,,,
AN0203,0.00,Normal,,,,,,,,
AN0204,25.00,Reward,,,,,,,,
AN0205,100.00,Reward,,,,,,,,
AN0206,66.67,Reward,,,,,,,,
AN0207,100.00,Reward,,,,,,,,
AN0209,66.67,Reward,,,,,,,,
AN0210,0.00,Normal,,,,,,,,
AN0211,100.00,Reward,,,,,,,,
AN0212,100.00,Reward,,,,,,,,
AN0213,100.00,Reward,,,,,,,,
AN0214,100.00,Reward,,,,,,,,
AN0215,100.00,Reward,,,,,,,,
AN0217,66.67,Reward,,,,,,,,
AN0218,100.00,Reward,,,,,,,,
AN0219,50.00,Reward,,,,,,,,
AN0221,0.00,Normal,,,,,,,,
AN0223,33.33,Reward,,,,,,,,
AN0224,100.00,Reward,,,,,,,,
AN0227,100.00,Reward,,,,,,,,
AN0228,20.00,Reward,,,,,,,,
AN0229,22.22,Reward,,,,,,,,
AN0230,66.67,Reward,,,,,,,,
AN0232,100.00,Reward,,,,,,,,
AN0233,66.67,Reward,,,,,,,,
AN0236,100.00,Reward,,,,,,,,
AN0237,100.00,Reward,,,,,,,,
AN0238,100.00,Reward,,,,,,,,
AN0240,100.00,Reward,,,,,,,,
AN0241,0.00,Normal,,,,,,,,
AN0242,100.00,Reward,,,,,,,,
AN0243,33.33,Reward,,,,,,,,
AN0244,100.00,Reward,,,,,,,,
AN0245,0.00,Normal,,,,,,,,
AN0246,80.00,Reward,,,,,,,,
AN0247,100.00,Reward,,,,,,,,
AN0249,100.00,Reward,,,,,,,,
AN0250,0.00,Normal,,,,,,,,
AN0252,100.00,Reward,,,,,,,,
AN0253,75.00,Reward,,,,,,,,
AN0254,75.00,Reward,,,,,,,,
AN0255,100.00,Reward,,,,,,,,
AN0257,100.00,Reward,,,,,,,,
AN0258,100.00,Reward,,,,,,,,
AN0259,100.00,Reward,,,,,,,,
AN0261,50.00,Reward,,,,,,,,
AN0264,100.00,Reward,,,,,,,,
AN0265,11.11,Reward,,,,,,,,
AN0266,83.33,Reward,,,,,,,,
AN0268,70.00,Reward,,,,,,,,
AN0273,0.00,Normal,,,,,,,,
AN0276,100.00,Reward,,,,,,,,
AN0277,100.00,Reward,,,,,,,,
AN0278,50.00,Reward,,,,,,,,
AN0279,50.00,Reward,,,,,,,,
AN0280,0.00,Normal,,,,,,,,
AN0281,100.00,Reward,,,,,,,,
AN0282,100.00,Reward,,,,,,,,
AN0283,0.00,Normal,,,,,,,,
AN0284,50.00,Reward,,,,,,,,
AN0285,0.00,Normal,,,,,,,,
AN0286,0.00,Normal,,,,,,,,
AN0287,100.00,Reward,,,,,,,,
AN0288,100.00,Reward,,,,,,,,
AN0290,75.00,Reward,,,,,,,,
AN0291,100.00,Reward,,,,,,,,
AN0292,0.00,Normal,,,,,,,,
AN0293,100.00,Reward,,,,,,,,
AN0294,100.00,Reward,,,,,,,,
AN0295,66.67,Reward,,,,,,,,
AN0296,0.00,Normal,,,,,,,,
AN0297,66.67,Reward,,,,,,,,
AN0298,50.00,Reward,,,,,,,,
AN0299,66.67,Reward,,,,,,,,
AN0300,100.00,Reward,,,,,,,,
AN0302,60.00,Reward,,,,,,,,
AN0303,100.00,Reward,,,,,,,,
AN0305,50.00,Reward,,,,,,,,
AN0307,100.00,Reward,,,,,,,,
AN0308,46.15,Reward,,,,,,,,
AN0312,80.00,Reward,,,,,,,,
AN0313,100.00,Reward,,,,,,,,
AN0314,100.00,Reward,,,,,,,,
AN0315,33.33,Reward,,,,,,,,
AN0316,100.00,Reward,,,,,,,,
AN0319,0.00,Normal,,,,,,,,
AN0320,100.00,Reward,,,,,,,,
AN0321,100.00,Reward,,,,,,,,
AN0322,100.00,Reward,,,,,,,,
AN0323,100.00,Reward,,,,,,,,
AN0324,80.00,Reward,,,,,,,,
AN0325,100.00,Reward,,,,,,,,
AN0326,66.67,Reward,,,,,,,,
AN0327,100.00,Reward,,,,,,,,
AN0328,66.67,Reward,,,,,,,,
AN0329,0.00,Normal,,,,,,,,
AN0330,50.00,Reward,,,,,,,,
AN0331,100.00,Reward,,,,,,,,
AN0333,100.00,Reward,,,,,,,,
AN0336,50.00,Reward,,,,,,,,
AN0337,0.00,Normal,,,,,,,,
AN0338,0.00,Normal,,,,,,,,
AN0339,64.29,Reward,,,,,,,,
AN0340,100.00,Reward,,,,,,,,
AN0341,100.00,Reward,,,,,,,,
AN0342,0.00,Normal,,,,,,,,
AN0343,100.00,Reward,,,,,,,,
AN0344,33.33,Reward,,,,,,,,
AN0347,100.00,Reward,,,,,,,,
AN0349,100.00,Reward,,,,,,,,
AN0350,0.00,Normal,,,,,,,,
AN0351,100.00,Reward,,,,,,,,
AN0352,60.00,Reward,,,,,,,,
AN0353,100.00,Reward,,,,,,,,
AN0354,90.91,Reward,,,,,,,,
AN0355,100.00,Reward,,,,,,,,
AN0356,50.00,Reward,,,,,,,,
AN0358,100.00,Reward,,,,,,,,
AN0359,0.00,Normal,,,,,,,,
AN0360,100.00,Reward,,,,,,,,
AN0361,100.00,Reward,,,,,,,,
AN0364,100.00,Reward,,,,,,,,
AN0365,66.67,Reward,,,,,,,,
AN0370,0.00,Normal,,,,,,,,
AN0371,100.00,Reward,,,,,,,,
AN0372,50.00,Reward,,,,,,,,
AN0375,100.00,Reward,,,,,,,,
AN0376,75.00,Reward,,,,,,,,
AN0377,100.00,Reward,,,,,,,,
AN0378,100.00,Reward,,,,,,,,
AN0380,100.00,Reward,,,,,,,,
AN0381,100.00,Reward,,,,,,,,
AN0382,0.00,Normal,,,,,,,,
AN0384,100.00,Reward,,,,,,,,
AN0385,0.00,Normal,,,,,,,,
AN0387,0.00,Normal,,,,,,,,
AN0389,50.00,Reward,,,,,,,,
AN0390,100.00,Reward,,,,,,,,
AN0394,0.00,Normal,,,,,,,,
AN0395,100.00,Reward,,,,,,,,
AN0396,66.67,Reward,,,,,,,,
AN0398,100.00,Reward,,,,,,,,
AN0399,100.00,Reward,,,,,,,,
AN0401,55.56,Reward,,,,,,,,
AN0402,100.00,Reward,,,,,,,,
AN0403,100.00,Reward,,,,,,,,
AN0404,100.00,Reward,,,,,,,,
AN0407,50.00,Reward,,,,,,,,
AN0410,100.00,Reward,,,,,,,,
AN0411,87.50,Reward,,,,,,,,
AN0412,28.57,Reward,,,,,,,,
AN0414,33.33,Reward,,,,,,,,
AN0415,100.00,Reward,,,,,,,,
AN0418,63.64,Reward,,,,,,,,
AN0419,100.00,Reward,,,,,,,,
AN0420,100.00,Reward,,,,,,,,
AN0421,100.00,Reward,,,,,,,,
AN0422,0.00,Normal,,,,,,,,
AN0424,100.00,Reward,,,,,,,,
AN0425,0.00,Normal,,,,,,,,
AN0426,100.00,Reward,,,,,,,,
AN0427,100.00,Reward,,,,,,,,
AN0428,100.00,Reward,,,,,,,,
AN0429,50.00,Reward,,,,,,,,
AN0430,66.67,Reward,,,,,,,,
AN0431,100.00,Reward,,,,,,,,
AN0432,100.00,Reward,,,,,,,,
AN0433,100.00,Reward,,,,,,,,
AN0434,0.00,Normal,,,,,,,,
AN0437,85.71,Reward,,,,,,,,
AN0438,100.00,Reward,,,,,,,,
AN0439,0.00,Normal,,,,,,,,
AN0440,100.00,Reward,,,,,,,,
AN0441,50.00,Reward,,,,,,,,
AN0442,50.00,Reward,,,,,,,,
AN0443,100.00,Reward,,,,,,,,
AN0447,100.00,Reward,,,,,,,,
AN0449,0.00,Normal,,,,,,,,
AN0450,100.00,Reward,,,,,,,,
AN0452,33.33,Reward,,,,,,,,
AN0454,100.00,Reward,,,,,,,,
AN0456,50.00,Reward,,,,,,,,
AN0458,66.67,Reward,,,,,,,,
AN0459,0.00,Normal,,,,,,,,
AN0461,50.00,Reward,,,,,,,,
AN0462,66.67,Reward,,,,,,,,
AN0463,100.00,Reward,,,,,,,,
AN0464,100.00,Reward,,,,,,,,
AN0467,0.00,Normal,,,,,,,,
AN0470,50.00,Reward,,,,,,,,
AN0471,100.00,Reward,,,,,,,,
AN0472,66.67,Reward,,,,,,,,
AN0474,75.00,Reward,,,,,,,,
AN0475,100.00,Reward,,,,,,,,
AN0476,100.00,Reward,,,,,,,,
AN0478,100.00,Reward,,,,,,,,
AN0480,80.00,Reward,,,,,,,,
AN0481,50.00,Reward,,,,,,,,
AN0482,100.00,Reward,,,,,,,,
AN0483,75.00,Reward,,,,,,,,
AN0484,100.00,Reward,,,,,,,,
AN0487,100.00,Reward,,,,,,,,
AN0489,100.00,Reward,,,,,,,,
AN0491,100.00,Reward,,,,,,,,
AN0492,100.00,Reward,,,,,,,,
AN0495,66.67,Reward,,,,,,,,
AN0496,100.00,Reward,,,,,,,,
AN0500,60.00,Reward,,,,,,,,
AN0501,33.33,Reward,,,,,,,,
AN0503,80.00,Reward,,,,,,,,
AN0504,100.00,Reward,,,,,,,,
AN0505,50.00,Reward,,,,,,,,
AN0506,100.00,Reward,,,,,,,,
AN0508,100.00,Reward,,,,,,,,
AN0509,100.00,Reward,,,,,,,,
AN0517,100.00,Reward,,,,,,,,
AN0520,100.00,Reward,,,,,,,,
AN0522,100.00,Reward,,,,,,,,
AN0523,100.00,Reward,,,,,,,,
AN0524,100.00,Reward,,,,,,,,
AN0525,100.00,Reward,,,,,,,,
AN0527,62.50,Reward,,,,,,,,
AN0528,100.00,Reward,,,,,,,,
AN0529,83.33,Reward,,,,,,,,
AN0530,100.00,Reward,,,,,,,,
AN0532,100.00,Reward,,,,,,,,
AN0535,100.00,Reward,,,,,,,,
AN0536,0.00,Normal,,,,,,,,
AN0537,100.00,Reward,,,,,,,,
AN0538,100.00,Reward,,,,,,,,
AN0539,60.00,Reward,,,,,,,,
AN0540,100.00,Reward,,,,,,,,
AN0541,0.00,Normal,,,,,,,,
AN0543,60.00,Reward,,,,,,,,
AN0544,50.00,Reward,,,,,,,,
AN0545,50.00,Reward,,,,,,,,
AN0546,100.00,Reward,,,,,,,,
AN0547,100.00,Reward,,,,,,,,
AN0548,50.00,Reward,,,,,,,,
AN0550,0.00,Normal,,,,,,,,
AN0552,100.00,Reward,,,,,,,,
AN0555,33.33,Reward,,,,,,,,
AN0556,0.00,Normal,,,,,,,,
AN0557,100.00,Reward,,,,,,,,
AN0558,33.33,Reward,,,,,,,,
AN0559,75.00,Reward,,,,,,,,
AN0560,100.00,Reward,,,,,,,,
AN0563,100.00,Reward,,,,,,,,
AN0564,100.00,Reward,,,,,,,,
AN0565,100.00,Reward,,,,,,,,
AN0566,66.67,Reward,,,,,,,,
AN0568,100.00,Reward,,,,,,,,
AN0569,100.00,Reward,,,,,,,,
AN0571,100.00,Reward,,,,,,,,
AN0573,100.00,Reward,,,,,,,,
AN0574,100.00,Reward,,,,,,,,
AN0576,25.00,Reward,,,,,,,,
AN0579,100.00,Reward,,,,,,,,
AN0580,100.00,Reward,,,,,,,,
AN0582,100.00,Reward,,,,,,,,
AN0584,93.33,Reward,,,,,,,,
AN0585,70.00,Reward,,,,,,,,
AN0586,0.00,Normal,,,,,,,,
AN0587,50.00,Reward,,,,,,,,
AN0588,50.00,Reward,,,,,,,,
AN0589,66.67,Reward,,,,,,,,
AN0590,100.00,Reward,,,,,,,,
AN0591,0.00,Normal,,,,,,,,
AN0592,100.00,Reward,,,,,,,,
AN0593,80.00,Reward,,,,,,,,
AN0594,50.00,Reward,,,,,,,,
AN0596,80.00,Reward,,,,,,,,
AN0597,100.00,Reward,,,,,,,,
AN0600,100.00,Reward,,,,,,,,
AN0602,0.00,Normal,,,,,,,,
AN0603,100.00,Reward,,,,,,,,
AN0605,100.00,Reward,,,,,,,,
AN0607,0.00,Normal,,,,,,,,
AN0610,100.00,Reward,,,,,,,,
AN0611,0.00,Normal,,,,,,,,
AN0612,0.00,Normal,,,,,,,,
AN0613,0.00,Normal,,,,,,,,
AN0614,100.00,Reward,,,,,,,,
AN0615,100.00,Reward,,,,,,,,
AN0616,100.00,Reward,,,,,,,,
AN0617,100.00,Reward,,,,,,,,
AN0618,50.00,Reward,,,,,,,,
AN0619,100.00,Reward,,,,,,,,
AN0620,50.00,Reward,,,,,,,,
AN0621,100.00,Reward,,,,,,,,
AN0622,0.00,Normal,,,,,,,,
AN0623,60.00,Reward,,,,,,,,
AN0624,100.00,Reward,,,,,,,,
AN0625,50.00,Reward,,,,,,,,
AN0626,100.00,Reward,,,,,,,,
AN0627,100.00,Reward,,,,,,,,
AN0628,100.00,Reward,,,,,,,,
AN0630,100.00,Reward,,,,,,,,
AN0631,66.67,Reward,,,,,,,,
AN0632,100.00,Reward,,,,,,,,
AN0633,100.00,Reward,,,,,,,,
AN0634,0.00,Normal,,,,,,,,
AN0635,100.00,Reward,,,,,,,,
AN0636,100.00,Reward,,,,,,,,
AN0637,33.33,Reward,,,,,,,,
AN0640,100.00,Reward,,,,,,,,
AN0643,100.00,Reward,,,,,,,,
AN0644,100.00,Reward,,,,,,,,
AN0645,100.00,Reward,,,,,,,,
AN0646,75.00,Reward,,,,,,,,
AN0647,100.00,Reward,,,,,,,,
AN0648,100.00,Reward,,,,,,,,
AN0649,100.00,Reward,,,,,,,,
AN0651,100.00,Reward,,,,,,,,
AN0653,100.00,Reward,,,,,,,,
AN0654,100.00,Reward,,,,,,,,
AN0655,50.00,Reward,,,,,,,,
AN0656,100.00,Reward,,,,,,,,
AN0657,0.00,Normal,,,,,,,,
AN0659,100.00,Reward,,,,,,,,
AN0662,16.67,Reward,,,,,,,,
AN0663,0.00,Normal,,,,,,,,
AN0664,100.00,Reward,,,,,,,,
AN0666,85.71,Reward,,,,,,,,
AN0667,100.00,Reward,,,,,,,,
AN0669,100.00,Reward,,,,,,,,
AN0672,100.00,Reward,,,,,,,,
AN0675,100.00,Reward,,,,,,,,
AN0678,50.00,Reward,,,,,,,,
AN0679,100.00,Reward,,,,,,,,
AN0680,0.00,Normal,,,,,,,,
AN0681,50.00,Reward,,,,,,,,
AN0683,33.33,Reward,,,,,,,,
AN0684,100.00,Reward,,,,,,,,
AN0685,100.00,Reward,,,,,,,,
AN0686,50.00,Reward,,,,,,,,
AN0689,100.00,Reward,,,,,,,,
AN0690,60.00,Reward,,,,,,,,
AN0693,100.00,Reward,,,,,,,,
AN0694,0.00,Normal,,,,,,,,
AN0695,100.00,Reward,,,,,,,,
AN0696,33.33,Reward,,,,,,,,
AN0699,100.00,Reward,,,,,,,,
AN0700,100.00,Reward,,,,,,,,
AN0702,100.00,Reward,,,,,,,,
AN0703,100.00,Reward,,,,,,,,
AN0704,100.00,Reward,,,,,,,,
AN0706,100.00,Reward,,,,,,,,
AN0709,50.00,Reward,,,,,,,,
AN0710,100.00,Reward,,,,,,,,
AN0711,100.00,Reward,,,,,,,,
AN0712,100.00,Reward,,,,,,,,
AN0713,0.00,Normal,,,,,,,,
AN0714,100.00,Reward,,,,,,,,
AN0715,50.00,Reward,,,,,,,,
AN0716,100.00,Reward,,,,,,,,
AN0718,0.00,Normal,,,,,,,,
AN0719,100.00,Reward,,,,,,,,
AN0720,0.00,Normal,,,,,,,,
AN0723,100.00,Reward,,,,,,,,
AN0724,100.00,Reward,,,,,,,,
AN0728,33.33,Reward,,,,,,,,
AN0729,100.00,Reward,,,,,,,,
AN0730,100.00,Reward,,,,,,,,
AN0731,100.00,Reward,,,,,,,,
AN0735,33.33,Reward,,,,,,,,
AN0736,100.00,Reward,,,,,,,,
AN0737,100.00,Reward,,,,,,,,
AN0739,0.00,Normal,,,,,,,,
AN0743,100.00,Reward,,,,,,,,
AN0745,100.00,Reward,,,,,,,,
AN0747,0.00,Normal,,,,,,,,
AN0748,100.00,Reward,,,,,,,,
AN0750,100.00,Reward,,,,,,,,
AN0751,100.00,Reward,,,,,,,,
AN0752,100.00,Reward,,,,,,,,
AN0753,100.00,Reward,,,,,,,,
AN0754,100.00,Reward,,,,,,,,
AN0758,100.00,Reward,,,,,,,,
AN0759,100.00,Reward,,,,,,,,
AN0763,100.00,Reward,,,,,,,,
AN0766,100.00,Reward,,,,,,,,
AN0767,100.00,Reward,,,,,,,,
AN0768,100.00,Reward,,,,,,,,
AN0770,100.00,Reward,,,,,,,,
AN0771,100.00,Reward,,,,,,,,
AN0772,100.00,Reward,,,,,,,,
AN0773,50.00,Reward,,,,,,,,
AN0774,100.00,Reward,,,,,,,,
AN0775,100.00,Reward,,,,,,,,
AN0776,100.00,Reward,,,,,,,,
AN0777,100.00,Reward,,,,,,,,
AN0778,100.00,Reward,,,,,,,,
AN0779,100.00,Reward,,,,,,,,
AN0780,100.00,Reward,,,,,,,,
AN0781,0.00,Normal,,,,,,,,
AN0782,100.00,Reward,,,,,,,,
AN0783,100.00,Reward,,,,,,,,
AN0784,66.67,Reward,,,,,,,,
AN0785,0.00,Normal,,,,,,,,
AN0787,100.00,Reward,,,,,,,,
AN0789,100.00,Reward,,,,,,,,
AN0791,100.00,Reward,,,,,,,,
AN0792,100.00,Reward,,,,,,,,
AN0793,100.00,Reward,,,,,,,,
AN0794,33.33,Reward,,,,,,,,
AN0796,100.00,Reward,,,,,,,,
AN0797,66.67,Reward,,,,,,,,
AN0798,100.00,Reward,,,,,,,,
AN0799,100.00,Reward,,,,,,,,
AN0802,0.00,Normal,,,,,,,,
AN0803,100.00,Reward,,,,,,,,
AN0804,100.00,Reward,,,,,,,,
AN0805,0.00,Normal,,,,,,,,
AN0806,100.00,Reward,,,,,,,,
AN0807,100.00,Reward,,,,,,,,
AN0808,0.00,Normal,,,,,,,,
AN0810,100.00,Reward,,,,,,,,
AN0811,0.00,Normal,,,,,,,,
AN0813,100.00,Reward,,,,,,,,
AN0814,0.00,Normal,,,,,,,,
AN0815,66.67,Reward,,,,,,,,
AN0816,100.00,Reward,,,,,,,,
AN0817,100.00,Reward,,,,,,,,
AN0818,50.00,Reward,,,,,,,,
AN0819,66.67,Reward,,,,,,,,
AN0821,100.00,Reward,,,,,,,,
AN0823,100.00,Reward,,,,,,,,
AN0824,0.00,Normal,,,,,,,,
AN0825,0.00,Normal,,,,,,,,
AN0826,100.00,Reward,,,,,,,,
AN0827,0.00,Normal,,,,,,,,
AN0833,0.00,Normal,,,,,,,,
AN0835,100.00,Reward,,,,,,,,
AN0836,80.00,Reward,,,,,,,,
AN0837,100.00,Reward,,,,,,,,
AN0840,100.00,Reward,,,,,,,,
AN0841,100.00,Reward,,,,,,,,
AN0845,100.00,Reward,,,,,,,,
AN0846,100.00,Reward,,,,,,,,
AN0847,100.00,Reward,,,,,,,,
AN0848,50.00,Reward,,,,,,,,
AN0849,33.33,Reward,,,,,,,,
AN0851,100.00,Reward,,,,,,,,
AN0852,100.00,Reward,,,,,,,,
AN0857,100.00,Reward,,,,,,,,
AN0858,66.67,Reward,,,,,,,,
AN0859,50.00,Reward,,,,,,,,
AN0860,50.00,Reward,,,,,,,,
AN0861,100.00,Reward,,,,,,,,
AN0862,0.00,Normal,,,,,,,,
AN0863,100.00,Reward,,,,,,,,
AN0867,0.00,Normal,,,,,,,,
AN0869,100.00,Reward,,,,,,,,
AN0870,100.00,Reward,,,,,,,,
AN0871,100.00,Reward,,,,,,,,
AN0873,100.00,Reward,,,,,,,,
AN0874,100.00,Reward,,,,,,,,
AN0875,0.00,Normal,,,,,,,,
AN0879,100.00,Reward,,,,,,,,
AN0880,100.00,Reward,,,,,,,,
AN0883,100.00,Reward,,,,,,,,
AN0885,100.00,Reward,,,,,,,,
AN0886,100.00,Reward,,,,,,,,
AN0888,100.00,Reward,,,,,,,,
AN0896,100.00,Reward,,,,,,,,
AN0898,100.00,Reward,,,,,,,,
AN0899,100.00,Reward,,,,,,,,
AN0901,100.00,Reward,,,,,,,,
AN0902,100.00,Reward,,,,,,,,
AN0903,0.00,Normal,,,,,,,,
AN0908,100.00,Reward,,,,,,,,
AN0910,100.00,Reward,,,,,,,,
AN0913,100.00,Reward,,,,,,,,
AN0914,0.00,Normal,,,,,,,,
AN0915,0.00,Normal,,,,,,,,
AS0001,22.22,Reward,,,,,,,,
AS0002,0.00,Normal,,,,,,,,
AS0004,50.00,Reward,,,,,,,,
AS0005,0.00,Normal,,,,,,,,
AS0006,75.00,Reward,,,,,,,,
AS0008,33.33,Reward,,,,,,,,
AS0009,66.67,Reward,,,,,,,,
AS0010,57.14,Reward,,,,,,,,
AS0011,55.56,Reward,,,,,,,,
AS0012,82.61,Reward,,,,,,,,
AS0013,72.73,Reward,,,,,,,,
AS0014,44.44,Reward,,,,,,,,
AS0015,0.00,Normal,,,,,,,,
AS0016,16.67,Reward,,,,,,,,
AS0017,66.67,Reward,,,,,,,,
AS0018,100.00,Reward,,,,,,,,
AS0019,55.56,Reward,,,,,,,,
AS0020,78.57,Reward,,,,,,,,
AS0021,0.00,Normal,,,,,,,,
AS0025,83.33,Reward,,,,,,,,
AS0027,33.33,Reward,,,,,,,,
AS0029,66.67,Reward,,,,,,,,
AS0030,100.00,Reward,,,,,,,,
AS0032,100.00,Reward,,,,,,,,
AS0033,36.36,Reward,,,,,,,,
AS0034,20.00,Reward,,,,,,,,
