L1_MARKS_CORRECTED,L1_Marks_Corrected,L2_MARKS_CORRECTED,L3_MARKS_CORRECTED,S1_MARKS_CORRECTED,S2_MARKS_CORRECTED,S3_MARKS_CORRECTED,L1_Marks_Class,L2_Marks_Class,L3_Marks_Class,S1_Marks_Class,S2_Marks_Class,S3_Marks_Class,NRC_CLASS
96,76,60,31,49,51,68,1,1,PASS,PASS,2,1,2
54,43,35,17,19,30,37,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL
50,40,30,35,55,35,30,PASS,PASS,PASS,2,PASS,PASS,PASS
83,66,60,35,11,25,35,1,1,PASS,FAIL,FAIL,PASS,FAIL
106,84,97,89,70,66,91,1,D,D,1,1,D,1
55,44,60,36,57,48,60,PASS,1,PASS,2,PASS,1,2
51,40,30,51,34,30,44,PASS,PASS,2,PASS,PASS,PASS,PASS
63,50,13,35,25,36,78,2,FAIL,PASS,FAIL,PASS,1,FAIL
53,42,17,15,30,27,35,PASS,FAIL,FAIL,PASS,FAIL,PASS,FAIL
44,35,35,42,36,11,39,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL
N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
48,38,35,38,9,43,30,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL
20,16,36,7,12,30,35,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL
38,30,35,41,30,40,42,PASS,PASS,PASS,PASS,PASS,PASS,PASS
55,44,30,41,52,41,30,PASS,PASS,PASS,2,PASS,PASS,PASS
54,43,67,61,56,40,67,PASS,1,1,2,PASS,1,2
8,6,38,35,35,48,56,FAIL,PASS,PASS,PASS,PASS,2,FAIL
81,64,35,35,9,20,19,1,PASS,PASS,FAIL,FAIL,FAIL,FAIL
6,4,35,9,14,27,21,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
44,35,14,47,30,50,35,PASS,FAIL,PASS,PASS,2,PASS,FAIL
52,41,69,57,39,35,62,PASS,1,2,PASS,PASS,1,2
5,4,3,10,5,5,4,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
80,64,87,47,70,66,66,1,D,PASS,1,1,1,1
106,84,30,35,51,35,72,1,PASS,PASS,2,PASS,1,2
63,50,76,36,30,30,39,2,1,PASS,PASS,PASS,PASS,PASS
98,78,71,44,41,37,60,1,1,PASS,PASS,PASS,1,2
N/A,N/A,35,35,N/A,0,N/A,N/A,PASS,PASS,N/A,FAIL,N/A,FAIL
46,36,35,40,36,30,57,PASS,PASS,PASS,PASS,PASS,2,PASS
83,66,76,41,36,38,80,1,1,PASS,PASS,PASS,1,2
56,44,88,56,54,76,85,PASS,D,2,2,1,D,1
95,76,74,35,53,35,41,1,1,PASS,2,PASS,PASS,2
92,73,87,61,59,48,44,1,D,1,2,PASS,PASS,1
117,93,78,83,74,69,81,D,1,1,1,1,1,1
12,9,14,11,19,16,12,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
57,45,30,37,50,37,57,PASS,PASS,PASS,2,PASS,2,PASS
88,70,74,71,45,59,63,1,1,1,PASS,2,1,1
16,12,35,13,5,7,1,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
61,48,53,30,30,35,41,PASS,2,PASS,PASS,PASS,PASS,PASS
2,1,12,11,12,11,9,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
81,64,40,49,59,51,54,1,PASS,PASS,2,2,2,2
17,13,37,13,13,19,10,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
14,11,11,17,9,14,22,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
105,84,85,68,44,51,72,1,D,1,PASS,2,1,1
32,25,71,8,30,19,45,FAIL,1,FAIL,PASS,FAIL,PASS,FAIL
82,65,45,42,64,35,57,1,PASS,PASS,1,PASS,2,2
92,73,90,75,62,59,47,1,D,1,1,2,PASS,1
44,35,35,35,6,8,59,PASS,PASS,PASS,FAIL,FAIL,2,FAIL
18,14,42,35,47,30,42,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
57,45,39,35,64,40,43,PASS,PASS,PASS,1,PASS,PASS,PASS
105,84,85,87,78,61,87,1,D,D,1,1,D,1
44,35,35,35,N/A,0,N/A,PASS,PASS,PASS,N/A,FAIL,N/A,FAIL
20,16,7,12,30,45,35,FAIL,FAIL,FAIL,PASS,PASS,PASS,FAIL
68,54,63,60,67,48,58,2,1,1,1,PASS,2,2
106,84,85,69,53,42,75,1,D,1,2,PASS,1,1
3,2,6,10,4,16,12,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
94,75,75,51,53,44,72,1,1,2,2,PASS,1,1
67,53,75,76,63,67,77,2,1,1,1,1,1,1
50,40,51,35,40,11,24,PASS,2,PASS,PASS,FAIL,FAIL,FAIL
76,60,50,40,35,41,45,1,2,PASS,PASS,PASS,PASS,PASS
44,35,72,46,68,50,63,PASS,1,PASS,1,2,1,2
61,48,30,48,43,42,52,PASS,PASS,PASS,PASS,PASS,2,PASS
11,8,35,35,13,12,9,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL
107,85,78,81,78,74,86,D,1,1,1,1,D,1
47,37,30,40,40,41,40,PASS,PASS,PASS,PASS,PASS,PASS,PASS
46,36,18,35,35,30,41,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
87,69,80,70,62,65,64,1,1,1,1,1,1,1
70,56,37,55,42,35,30,2,PASS,2,PASS,PASS,PASS,PASS
13,10,50,35,30,35,57,FAIL,2,PASS,PASS,PASS,2,FAIL
56,44,39,30,30,35,39,PASS,PASS,PASS,PASS,PASS,PASS,PASS
112,89,90,68,67,70,75,D,D,1,1,1,1,1
20,16,35,19,47,13,38,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL
8,6,13,16,30,17,30,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL
8,6,35,12,11,23,6,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
47,37,35,35,35,22,35,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL
79,63,51,65,35,35,47,1,2,1,PASS,PASS,PASS,PASS
65,52,35,5,10,9,54,2,PASS,FAIL,FAIL,FAIL,2,FAIL
31,24,35,19,39,20,35,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL
99,79,77,85,57,61,84,1,1,D,2,1,1,1
44,35,30,40,30,40,35,PASS,PASS,PASS,PASS,PASS,PASS,PASS
96,76,46,10,8,43,17,1,PASS,FAIL,FAIL,PASS,FAIL,FAIL
104,83,58,74,66,49,71,1,2,1,1,PASS,1,1
102,81,42,54,64,47,68,1,PASS,2,1,PASS,1,1
61,48,N/A,49,35,35,35,PASS,N/A,PASS,PASS,PASS,PASS,FAIL
73,58,76,67,66,70,83,2,1,1,1,1,1,1
112,89,63,74,53,76,76,D,1,1,2,1,1,1
104,83,98,60,76,74,86,1,D,1,1,1,D,1
5,4,35,35,35,38,30,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
73,58,78,68,77,76,75,2,1,1,1,1,1,1
10,8,17,5,8,23,46,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
108,86,66,74,83,69,86,D,1,1,1,1,D,1
80,64,78,75,51,47,59,1,1,1,2,PASS,2,1
5,4,35,40,57,35,30,FAIL,PASS,PASS,2,PASS,PASS,FAIL
56,44,51,30,40,49,84,PASS,2,PASS,PASS,PASS,1,PASS
61,48,43,55,60,50,44,PASS,PASS,2,1,2,PASS,2
33,26,8,10,16,30,10,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL
92,73,86,72,53,51,35,1,D,1,2,2,PASS,1
5,4,35,11,15,37,36,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL
83,66,82,73,45,57,61,1,1,1,PASS,2,1,1
58,46,38,40,42,47,52,PASS,PASS,PASS,PASS,PASS,2,PASS
57,45,40,13,35,30,35,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL
47,37,55,35,51,38,30,PASS,2,PASS,2,PASS,PASS,PASS
47,37,67,46,30,35,72,PASS,1,PASS,PASS,PASS,1,PASS
84,67,55,35,13,30,13,1,2,PASS,FAIL,PASS,FAIL,FAIL
120,96,97,89,88,88,86,D,D,D,D,D,D,D   
7,5,38,35,41,13,35,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL
53,42,75,55,30,42,48,PASS,1,2,PASS,PASS,PASS,PASS
21,16,37,35,30,35,30,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
109,87,77,35,30,21,21,D,1,PASS,PASS,FAIL,FAIL,FAIL
29,23,35,35,35,35,35,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
99,79,80,58,75,52,72,1,1,2,1,2,1,1
31,24,12,35,37,21,35,FAIL,FAIL,PASS,PASS,FAIL,PASS,FAIL
82,65,41,41,44,51,40,1,PASS,PASS,PASS,2,PASS,PASS
38,30,42,41,61,40,61,PASS,PASS,PASS,1,PASS,1,PASS
64,51,30,35,48,46,36,2,PASS,PASS,PASS,PASS,PASS,PASS
100,80,50,54,64,40,35,1,2,2,1,PASS,PASS,2
13,10,41,35,21,30,22,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL
103,82,90,86,78,51,96,1,D,D,1,2,D,1
86,68,38,75,51,44,57,1,PASS,1,2,PASS,2,2
38,30,72,54,62,37,64,PASS,1,2,1,PASS,1,2
90,72,96,91,55,72,81,1,D,D,2,1,1,1
61,48,62,60,58,54,60,PASS,1,1,2,2,1,2
39,31,55,35,35,30,60,PASS,2,PASS,PASS,PASS,1,PASS
56,44,11,9,17,16,17,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
83,66,35,35,60,30,35,1,PASS,PASS,1,PASS,PASS,PASS
47,37,35,14,41,16,35,PASS,PASS,FAIL,PASS,FAIL,PASS,FAIL
90,72,30,42,36,46,65,1,PASS,PASS,PASS,PASS,1,PASS
101,80,74,67,55,37,43,1,1,1,2,PASS,PASS,1
70,56,72,61,49,55,80,2,1,1,PASS,2,1,1
82,65,46,71,53,46,58,1,PASS,1,2,PASS,2,2
62,49,30,30,30,37,37,PASS,PASS,PASS,PASS,PASS,PASS,PASS
10,8,9,9,19,16,37,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
85,68,85,60,55,50,74,1,D,1,2,2,1,1
94,75,35,35,37,30,30,1,PASS,PASS,PASS,PASS,PASS,PASS
N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
23,18,35,10,17,16,22,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
6,4,35,6,21,50,40,FAIL,PASS,FAIL,FAIL,2,PASS,FAIL
86,68,61,67,59,66,53,1,1,1,2,1,2,1
82,65,40,14,35,40,74,1,PASS,FAIL,PASS,PASS,1,FAIL
60,48,90,62,78,70,92,PASS,D,1,1,1,D,1
64,51,37,30,45,52,41,2,PASS,PASS,PASS,2,PASS,PASS
53,42,73,60,30,41,60,PASS,1,1,PASS,PASS,1,2
38,30,35,30,52,35,74,PASS,PASS,PASS,2,PASS,1,PASS
67,53,50,35,40,39,67,2,2,PASS,PASS,PASS,1,PASS
60,48,73,60,55,52,73,PASS,1,1,2,2,1,2
57,45,35,9,18,24,14,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
68,54,38,17,13,19,18,2,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
86,68,78,49,44,53,77,1,1,PASS,PASS,2,1,1
73,58,60,30,39,30,41,2,1,PASS,PASS,PASS,PASS,PASS
123,98,98,98,93,97,98,D,D,D,D,D,D,D   
50,40,47,19,35,25,18,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL
91,72,52,67,79,62,61,1,2,1,1,1,1,1
5,4,35,35,36,35,71,FAIL,PASS,PASS,PASS,PASS,1,FAIL
16,12,4,9,10,35,37,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL
48,38,35,35,20,22,37,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL
100,80,35,19,14,19,30,1,PASS,FAIL,FAIL,FAIL,PASS,FAIL
49,39,35,35,35,35,30,PASS,PASS,PASS,PASS,PASS,PASS,PASS
7,5,35,16,8,30,40,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL
38,30,92,48,63,55,75,PASS,D,PASS,1,2,1,2
4,3,35,35,35,8,8,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL
45,36,44,40,30,38,30,PASS,PASS,PASS,PASS,PASS,PASS,PASS
48,38,21,20,35,35,35,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL
122,97,62,30,40,57,50,D,1,PASS,PASS,2,2,2
30,24,35,45,6,5,10,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL
46,36,53,11,22,23,19,PASS,2,FAIL,FAIL,FAIL,FAIL,FAIL
18,14,42,19,20,25,18,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
93,74,48,64,30,40,81,1,PASS,1,PASS,PASS,1,2
92,73,75,60,70,65,79,1,1,1,1,1,1,1
13,10,35,17,49,41,30,FAIL,PASS,FAIL,PASS,PASS,PASS,FAIL
86,68,91,78,44,30,76,1,D,1,PASS,PASS,1,1
86,68,35,67,54,35,47,1,PASS,1,2,PASS,PASS,2
89,71,79,59,46,43,63,1,1,2,PASS,PASS,1,1
16,12,45,35,41,45,40,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
54,43,11,15,30,20,22,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
54,43,11,36,6,9,10,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
102,81,65,70,67,45,70,1,1,1,1,PASS,1,1
22,17,8,18,6,24,35,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
97,77,82,79,48,57,85,1,1,1,PASS,2,D,1
102,81,91,89,77,78,96,1,D,D,1,1,D,D   
44,35,35,35,30,31,35,PASS,PASS,PASS,PASS,PASS,PASS,FAIL
104,83,82,84,81,72,85,1,1,1,1,1,D,1
18,14,58,42,35,32,30,FAIL,2,PASS,PASS,PASS,PASS,FAIL
62,49,43,74,30,35,30,PASS,PASS,1,PASS,PASS,PASS,PASS
44,35,35,35,36,26,16,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL
113,90,85,70,49,47,62,D,D,1,PASS,PASS,1,1
9,7,7,10,30,21,15,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
46,36,35,30,37,36,35,PASS,PASS,PASS,PASS,PASS,PASS,PASS
38,30,40,30,50,35,48,PASS,PASS,PASS,2,PASS,PASS,PASS
44,35,35,35,16,18,15,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
81,64,52,50,62,41,53,1,2,2,1,PASS,2,2
6,4,38,35,12,30,18,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL
38,30,15,10,43,25,20,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
6,4,55,57,60,35,73,FAIL,2,2,1,PASS,1,FAIL
108,86,37,35,37,30,35,D,PASS,PASS,PASS,PASS,PASS,PASS
44,35,53,30,44,30,30,PASS,2,PASS,PASS,PASS,PASS,PASS
111,88,93,75,53,52,82,D,D,1,2,2,1,1
106,84,98,98,81,81,92,1,D,D,1,1,D,D   
38,30,30,42,43,39,57,PASS,PASS,PASS,PASS,PASS,2,PASS
72,57,30,30,35,35,46,2,PASS,PASS,PASS,PASS,PASS,PASS
7,5,35,38,23,22,30,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL
65,52,30,30,35,30,30,2,PASS,PASS,PASS,PASS,PASS,PASS
82,65,58,46,50,53,79,1,2,PASS,2,2,1,2
6,4,35,35,30,38,35,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
115,92,93,93,86,83,81,D,D,D,D,1,1,D   
19,15,9,10,6,19,10,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
11,8,35,15,10,35,50,FAIL,PASS,FAIL,FAIL,PASS,2,FAIL
82,65,41,30,43,37,37,1,PASS,PASS,PASS,PASS,PASS,PASS
68,54,77,75,64,51,76,2,1,1,1,2,1,1
38,30,52,30,50,35,58,PASS,2,PASS,2,PASS,2,PASS
103,82,61,39,35,54,68,1,1,PASS,PASS,2,1,2
53,42,36,45,62,44,52,PASS,PASS,PASS,1,PASS,2,PASS
5,4,19,6,19,16,15,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
82,65,85,86,61,84,70,1,D,D,1,1,1,1
110,88,43,35,42,53,47,D,PASS,PASS,PASS,2,PASS,2
19,15,16,8,17,24,21,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
92,73,30,31,36,35,38,1,PASS,PASS,PASS,PASS,PASS,PASS
60,48,35,12,12,35,37,PASS,PASS,FAIL,FAIL,PASS,PASS,FAIL
2,1,8,7,16,18,9,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4,3,5,9,13,14,21,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
55,44,52,14,14,23,35,PASS,2,FAIL,FAIL,FAIL,PASS,FAIL
77,61,76,91,73,48,82,1,1,D,1,PASS,1,1
98,78,69,71,62,57,79,1,1,1,1,2,1,1
52,41,35,17,18,15,12,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL
31,24,35,35,30,20,10,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL
89,71,89,85,84,88,83,1,D,D,1,D,1,1
49,39,30,30,30,45,62,PASS,PASS,PASS,PASS,PASS,1,PASS
15,12,52,14,18,35,19,FAIL,2,FAIL,FAIL,PASS,FAIL,FAIL
71,56,30,30,47,36,36,2,PASS,PASS,PASS,PASS,PASS,PASS
53,42,N/A,N/A,35,44,50,PASS,N/A,N/A,PASS,PASS,2,FAIL
20,16,17,35,8,9,18,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
86,68,35,30,47,30,30,1,PASS,PASS,PASS,PASS,PASS,PASS
113,90,80,90,77,66,88,D,1,D,1,1,D,1
38,30,30,47,49,35,30,PASS,PASS,PASS,PASS,PASS,PASS,PASS
115,92,90,93,80,81,97,D,D,D,1,1,D,D   
56,44,53,62,55,37,59,PASS,2,1,2,PASS,2,2
33,26,38,60,19,24,56,FAIL,PASS,1,FAIL,FAIL,2,FAIL
122,97,96,93,88,94,99,D,D,D,D,D,D,D   
73,58,30,35,65,37,81,2,PASS,PASS,1,PASS,1,2
38,30,11,10,22,19,11,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
61,48,45,37,31,44,35,PASS,PASS,PASS,PASS,PASS,PASS,PASS
76,60,89,65,53,75,75,1,D,1,2,1,1,1
103,82,83,46,58,61,84,1,1,PASS,2,1,1,1
18,14,53,14,37,35,23,FAIL,2,FAIL,PASS,PASS,FAIL,FAIL
99,79,65,35,30,47,56,1,1,PASS,PASS,PASS,2,2
11,8,35,35,30,30,21,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL
N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,FAIL,N/A,FAIL
77,61,85,43,62,71,87,1,D,PASS,1,1,D,1
90,72,71,64,59,61,69,1,1,1,2,1,1,1
76,60,57,30,30,40,47,1,2,PASS,PASS,PASS,PASS,PASS
100,80,35,13,22,36,53,1,PASS,FAIL,FAIL,PASS,2,FAIL
56,44,30,30,30,40,54,PASS,PASS,PASS,PASS,PASS,2,PASS
38,30,30,35,44,44,40,PASS,PASS,PASS,PASS,PASS,PASS,PASS
79,63,43,79,53,58,54,1,PASS,1,2,2,2,2
44,35,35,37,41,30,38,PASS,PASS,PASS,PASS,PASS,PASS,PASS
10,8,51,35,38,23,54,FAIL,2,PASS,PASS,FAIL,2,FAIL
65,52,49,30,52,36,40,2,PASS,PASS,2,PASS,PASS,PASS
47,37,61,43,56,50,57,PASS,1,PASS,2,2,2,2
45,36,35,35,35,39,35,PASS,PASS,PASS,PASS,PASS,PASS,PASS
39,31,11,35,37,37,30,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL
3,2,35,35,11,16,37,FAIL,PASS,PASS,FAIL,FAIL,PASS,FAIL
80,64,62,74,36,35,37,1,1,1,PASS,PASS,PASS,2
70,56,48,30,35,35,39,2,PASS,PASS,PASS,PASS,PASS,PASS
N/A,N/A,37,50,65,42,80,N/A,PASS,2,1,PASS,1,FAIL
90,72,12,14,30,30,30,1,FAIL,FAIL,PASS,PASS,PASS,FAIL
84,67,89,70,65,59,53,1,D,1,1,2,2,1
44,35,10,N/A,36,35,N/A,PASS,FAIL,N/A,PASS,PASS,N/A,FAIL
44,35,5,19,18,22,36,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
3,2,36,8,36,13,22,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL
100,80,61,72,63,46,41,1,1,1,1,PASS,PASS,1
83,66,57,54,50,30,35,1,2,2,2,PASS,PASS,PASS
68,54,35,70,81,59,75,2,PASS,1,1,2,1,1
100,80,93,80,61,52,68,1,D,1,1,2,1,1
92,73,70,71,64,45,65,1,1,1,1,PASS,1,1
52,41,13,35,15,14,35,PASS,FAIL,PASS,FAIL,FAIL,PASS,FAIL
72,57,31,40,67,30,40,2,PASS,PASS,1,PASS,PASS,PASS
44,35,35,35,12,14,10,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
118,94,94,88,85,93,91,D,D,D,D,D,D,D   
83,66,41,65,82,53,58,1,PASS,1,1,2,2,1
2,1,7,5,2,1,1,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
25,20,50,35,20,20,42,FAIL,2,PASS,FAIL,FAIL,PASS,FAIL
110,88,88,85,61,67,58,D,D,D,1,1,2,1
46,36,30,45,35,30,41,PASS,PASS,PASS,PASS,PASS,PASS,PASS
44,35,35,35,17,16,35,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL
89,71,58,42,63,54,64,1,2,PASS,1,2,1,2
20,16,17,39,12,23,50,FAIL,FAIL,PASS,FAIL,FAIL,2,FAIL
38,30,30,30,41,42,46,PASS,PASS,PASS,PASS,PASS,PASS,PASS
44,35,9,4,14,18,10,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
54,43,44,30,61,38,35,PASS,PASS,PASS,1,PASS,PASS,PASS
66,52,52,47,63,66,72,2,2,PASS,1,1,1,2
6,4,11,17,16,18,37,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL
58,46,50,35,37,35,51,PASS,2,PASS,PASS,PASS,2,PASS
44,35,14,35,53,40,44,PASS,FAIL,PASS,2,PASS,PASS,FAIL
39,31,71,30,35,46,66,PASS,1,PASS,PASS,PASS,1,PASS
95,76,47,45,75,47,62,1,PASS,PASS,1,PASS,1,2
92,73,77,39,42,55,44,1,1,PASS,PASS,2,PASS,2
65,52,32,41,35,30,50,2,PASS,PASS,PASS,PASS,2,PASS
15,12,35,35,14,31,36,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL
8,6,35,35,42,40,47,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
89,71,82,90,71,48,53,1,1,D,1,PASS,2,1
60,48,46,39,50,36,36,PASS,PASS,PASS,2,PASS,PASS,PASS
75,60,16,10,12,17,24,1,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
7,5,6,5,13,6,9,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
95,76,44,55,86,64,65,1,PASS,2,D,1,1,1
93,74,77,76,71,53,74,1,1,1,1,2,1,1
106,84,90,61,65,36,46,1,D,1,1,PASS,PASS,1
46,36,35,35,10,8,30,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL
13,10,35,35,42,42,44,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL
48,38,35,35,30,36,35,PASS,PASS,PASS,PASS,PASS,PASS,PASS
81,64,81,57,57,71,92,1,1,2,2,1,D,1
70,56,61,45,52,41,74,2,1,PASS,2,PASS,1,2
86,68,72,84,53,31,71,1,1,1,2,PASS,1,1
2,1,53,7,12,30,46,FAIL,2,FAIL,FAIL,PASS,PASS,FAIL
56,44,35,30,30,30,50,PASS,PASS,PASS,PASS,PASS,2,PASS
21,16,38,35,30,30,53,FAIL,PASS,PASS,PASS,PASS,2,FAIL
28,22,7,11,19,16,7,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
86,68,52,68,66,48,74,1,2,1,1,PASS,1,1
