L1_MARKS_CORRECTED,L2_MARKS_CORRECTED,L3_MARKS_CORRECTED,S1_MARKS_CORRECTED,S2_MARKS_CORRECTED,S3_MARKS_CORRECTED,TOTAL_MARKS,NRC_RESULT
121,98,79,91,85,94,568,P
89,45,46,30,35,30,275,P
65,13,37,55,36,56,262,F
44,35,44,46,44,35,248,P
22,35,37,39,30,37,200,F
4,43,35,22,0,35,139,F
101,92,83,77,72,83,508,P
85,0,0,91,80,82,338,P
12,41,37,26,35,51,202,F
50,35,35,43,59,52,274,P
87,83,73,88,63,87,481,P
3,19,35,17,9,22,105,F
63,61,46,54,50,73,347,P
8,10,4,6,5,8,41,F
111,30,35,39,51,37,303,P
38,44,47,61,30,53,273,P
38,41,35,38,49,14,215,F
92,81,46,46,44,50,359,P
56,12,42,12,20,47,189,F
91,76,78,60,48,53,406,P
44,35,30,46,53,37,245,P
62,35,40,30,22,18,207,F
108,84,83,72,71,79,497,P
88,60,42,38,42,38,308,P
7,14,11,14,12,17,75,F
39,42,18,30,17,30,176,F
112,93,98,91,75,89,558,P
72,30,30,30,35,35,232,P
82,67,53,56,30,72,360,P
111,94,88,70,67,75,505,P
107,93,88,70,70,65,493,P
58,35,35,17,15,10,170,F
N\A,N\A,N\A,N\A,0,N\A,0,F
4,N\A,N\A,N\A,0,N\A,4,F
44,35,35,35,0,35,184,F
86,89,75,71,69,67,457,P
52,35,35,15,19,18,174,F
70,10,46,24,24,35,209,F
96,84,80,57,51,69,437,P
86,41,45,50,41,70,333,P
98,90,68,71,38,55,420,P
100,52,76,79,57,66,430,P
65,41,61,46,35,63,311,P
44,35,35,35,20,35,204,F
14,35,15,25,15,38,142,F
58,53,35,51,22,20,239,F
N\A,35,41,63,68,68,275,F
68,35,30,35,30,50,248,P
53,35,36,43,30,41,238,P
16,35,35,39,35,15,175,F
68,75,35,32,40,35,285,P
54,30,35,35,37,35,226,P
77,74,54,58,53,52,368,P
109,74,82,68,62,71,466,P
59,30,30,57,30,30,236,P
116,93,91,70,77,97,544,P
21,35,17,14,35,25,147,F
77,53,57,75,46,55,363,P
47,35,35,12,35,10,174,F
N\A,0,0,N\A,0,N\A,0,F
122,98,97,96,97,99,609,P
38,74,31,30,37,51,261,P
7,7,35,36,16,11,112,F
19,62,17,25,41,62,226,F
61,78,71,58,50,60,378,P
45,12,39,37,23,35,191,F
85,44,50,73,60,71,383,P
85,50,66,71,37,68,377,P
76,30,42,30,42,30,250,P
38,77,30,52,54,60,311,P
44,35,30,40,30,48,227,P
N\A,N\A,N\A,N\A,0,N\A,0,F
5,52,35,40,39,50,221,F
62,60,44,39,57,82,344,P
56,48,35,21,22,30,212,F
104,99,78,75,70,96,522,P
66,6,48,21,35,36,212,F
55,30,30,31,30,48,224,P
38,56,60,38,35,51,278,P
58,35,35,14,37,47,226,F
65,38,31,30,30,59,253,P
90,42,56,45,49,80,362,P
82,45,35,30,44,35,271,P
82,30,42,30,31,56,271,P
25,35,35,17,21,10,143,F
N\A,N\A,N\A,N\A,0,N\A,0,F
57,7,35,13,23,69,204,F
53,56,35,40,60,64,308,P
110,96,91,80,81,91,549,P
N\A,N\A,N\A,N\A,0,N\A,0,F
96,54,39,53,44,63,349,P
46,56,51,45,36,58,292,P
89,76,77,76,90,87,495,P
71,30,30,35,36,44,246,P
111,91,86,84,83,94,549,P
20,35,55,20,23,47,200,F
21,45,56,45,35,58,260,F
99,96,94,97,95,99,580,P
50,61,9,30,30,30,210,F
44,79,56,61,45,76,361,P
50,47,30,30,40,44,241,P
88,82,70,57,59,78,434,P
51,65,50,52,69,44,331,P
107,43,96,48,42,57,393,P
31,18,37,35,23,36,180,F
90,48,87,73,75,75,448,P
66,95,54,75,54,87,431,P
88,66,72,53,51,72,402,P
117,97,94,95,75,93,571,P
102,73,73,48,65,94,455,P
91,87,82,91,82,88,521,P
70,56,50,35,35,64,310,P
70,88,87,63,54,82,444,P
9,18,12,7,6,12,64,F
13,19,87,25,30,15,189,F
77,75,46,66,55,53,372,P
60,85,70,56,54,80,405,P
89,53,66,43,44,54,349,P
105,89,90,69,70,73,496,P
45,30,50,36,35,35,231,P
123,89,93,80,72,77,534,P
112,97,96,72,91,96,564,P
117,98,94,92,96,98,595,P
100,61,51,50,45,73,380,P
81,41,71,24,21,7,245,F
103,30,47,69,54,89,392,P
58,30,42,30,30,35,225,P
81,49,30,30,30,37,257,P
87,93,65,71,58,77,451,P
29,41,35,16,30,20,171,F
70,86,30,61,75,82,404,P
105,41,50,38,35,31,300,P
44,68,65,49,57,65,348,P
58,81,55,49,35,66,344,P
39,30,30,38,30,55,222,P
90,79,80,91,67,86,493,P
81,41,62,46,64,67,361,P
14,62,35,36,16,21,184,F
72,67,40,67,61,72,379,P
65,80,49,50,38,55,337,P
N\A,N\A,N\A,N\A,0,N\A,0,F
50,60,67,48,41,57,323,P
105,71,55,41,49,50,371,P
44,41,30,37,35,35,222,P
N\A,N\A,N\A,N\A,0,N\A,0,F
96,35,30,55,38,45,299,P
28,13,35,38,42,35,191,F
114,96,90,88,93,97,578,P
44,83,72,61,64,90,414,P
80,44,49,39,40,45,297,P
45,48,42,38,30,51,254,P
101,91,72,81,72,56,473,P
103,39,52,37,30,39,300,P
9,35,8,10,12,12,86,F
116,91,94,83,83,93,560,P
5,50,35,12,43,31,176,F
96,75,39,30,30,49,319,P
88,57,66,72,55,57,395,P
34,35,35,50,16,40,210,F
112,35,86,50,67,56,406,P
98,95,93,86,83,92,547,P
N\A,N\A,35,N\A,0,N\A,35,F
4,2,1,3,4,8,22,F
124,94,98,80,88,97,581,P
38,62,30,30,30,80,270,P
65,30,80,65,47,39,326,P
65,14,38,39,35,51,242,F
80,83,50,45,42,57,357,P
81,75,76,66,41,53,392,P
79,73,71,63,58,77,421,P
63,52,30,57,46,35,283,P
63,8,8,35,22,38,174,F
69,35,35,27,15,57,238,F
94,52,30,60,54,64,354,P
62,51,61,62,51,70,357,P
55,38,67,49,43,53,305,P
98,41,39,43,35,41,297,P
24,35,15,12,14,24,124,F
92,68,40,30,50,81,361,P
82,82,83,77,54,70,448,P
20,35,35,20,13,11,134,F
110,93,98,95,83,87,566,P
76,52,63,63,62,64,380,P
21,10,15,15,30,40,131,F
39,58,36,68,61,51,313,P
66,47,30,30,45,30,248,P
61,40,51,42,47,67,308,P
N\A,N\A,N\A,N\A,0,N\A,0,F
111,80,93,64,67,76,491,P
14,35,35,35,21,35,175,F
90,35,54,64,57,82,382,P
21,15,10,19,20,30,115,F
46,35,35,36,35,36,223,P
91,46,65,69,52,91,414,P
23,7,15,19,30,14,108,F
101,99,92,100,98,93,583,P
113,97,95,85,86,90,566,P
119,98,95,94,91,98,595,P
14,36,18,17,16,6,107,F
44,56,43,71,55,30,299,P
57,35,43,18,35,16,204,F
14,35,38,52,27,30,196,F
83,56,69,77,58,93,436,P
80,50,68,81,50,55,384,P
44,N\A,N\A,35,52,N\A,131,F
63,81,85,57,41,66,393,P
94,97,80,70,77,83,501,P
121,93,80,77,86,94,551,P
116,92,97,63,77,91,536,P
87,53,62,41,35,58,336,P
88,35,35,14,39,53,264,F
119,82,92,79,47,58,477,P
97,77,62,30,68,65,399,P
86,86,68,69,67,73,449,P
100,81,56,69,73,83,462,P
84,40,30,49,40,60,303,P
100,75,65,51,62,85,438,P
120,94,90,100,95,99,598,P
98,38,30,35,30,66,297,P
47,10,12,23,25,30,147,F
47,8,35,22,40,36,188,F
84,60,52,64,55,48,363,P
81,70,35,56,39,53,334,P
51,71,60,37,40,70,329,P
76,88,63,83,65,56,431,P
75,66,78,48,72,79,418,P
110,99,97,93,85,99,583,P
21,35,35,21,22,15,149,F
80,81,69,78,62,91,461,P
98,45,35,30,35,60,303,P
116,91,88,82,87,87,551,P
107,58,50,61,48,86,410,P
112,94,85,74,83,88,536,P
103,83,91,55,55,78,465,P
9,41,45,24,35,25,179,F
110,97,98,75,85,87,552,P
56,52,30,30,35,42,245,P
6,11,16,9,10,21,73,F
101,95,90,82,88,85,541,P
81,35,30,60,43,58,307,P
109,87,40,53,53,70,412,P
109,96,93,85,87,98,568,P
38,43,40,30,30,61,242,P
100,74,74,46,61,60,415,P
69,30,30,30,30,30,219,P
96,35,30,54,41,39,295,P
90,97,73,63,71,60,454,P
58,38,67,30,30,41,264,P
76,47,51,51,48,44,317,P
93,68,89,48,45,84,427,P
44,60,30,51,30,30,245,P
53,75,54,41,36,40,299,P
68,40,37,45,40,54,284,P
97,69,82,63,67,91,469,P
4,5,35,40,21,43,148,F
38,35,40,37,35,35,220,P
89,69,43,40,43,53,337,P
96,61,47,70,52,69,395,P
102,91,84,72,65,78,492,P
75,74,67,41,48,72,377,P
83,54,42,43,47,44,313,P
85,30,71,52,40,41,319,P
66,50,71,30,30,35,282,P
82,50,68,77,47,54,378,P
99,90,73,56,67,89,474,P
32,35,13,15,35,36,166,F
49,35,35,39,35,42,235,P
38,10,13,17,21,21,120,F
88,91,76,76,72,82,485,P
107,87,80,65,70,64,473,P
56,38,35,30,30,90,279,P
109,46,86,44,37,79,401,P
95,85,92,64,53,76,465,P
90,86,62,68,45,63,414,P
44,30,37,53,48,54,266,P
64,69,44,69,56,66,368,P
N\A,N\A,N\A,N\A,0,N\A,0,F
83,66,76,53,61,82,421,P
53,63,51,49,52,56,324,P
85,87,90,70,70,76,478,P
99,88,91,87,75,92,532,P
94,45,12,47,38,54,290,F
56,35,35,30,30,38,224,P
108,90,87,79,86,91,541,P
85,85,82,60,62,66,440,P
12,44,35,43,13,40,187,F
59,30,35,39,36,46,245,P
115,95,94,79,85,98,566,P
9,19,10,7,14,30,89,F
44,47,45,56,37,49,278,P
45,75,61,66,58,64,369,P
59,30,64,60,40,42,295,P
52,30,37,35,35,37,226,P
77,30,38,65,38,64,312,P
100,83,40,54,38,56,371,P
105,63,79,65,58,78,448,P
46,35,35,41,30,36,223,P
68,39,62,35,35,53,292,P
103,80,35,48,61,63,390,P
48,45,39,35,35,30,232,P
58,47,42,53,36,31,267,P
83,83,80,62,73,72,453,P
73,35,70,55,47,53,333,P
83,38,46,58,45,63,333,P
64,53,51,54,40,41,303,P
12,3,13,8,14,11,61,F
112,80,71,75,78,84,500,P
45,35,35,13,35,35,198,F
120,96,99,93,86,90,584,P
6,35,43,N\A,0,N\A,84,F
109,89,86,74,68,59,485,P
45,37,14,10,13,35,154,F
9,6,12,38,24,6,95,F
69,84,90,62,47,92,444,P
76,88,72,56,55,80,427,P
24,11,12,9,24,9,89,F
110,72,83,52,62,86,465,P
10,35,35,39,35,70,224,F
117,93,85,86,72,91,544,P
74,12,62,55,46,41,290,F
101,83,68,30,50,53,385,P
98,90,80,73,76,49,466,P
16,19,14,37,24,12,122,F
112,86,84,71,64,77,494,P
46,78,84,52,50,73,383,P
83,53,59,76,49,90,410,P
48,8,17,22,19,35,149,F
34,35,35,15,24,30,173,F
109,67,73,93,89,77,508,P
49,35,13,35,40,23,195,F
67,46,45,40,48,58,304,P
76,81,90,80,58,88,473,P
85,85,89,66,71,82,478,P
44,76,65,51,35,54,325,P
46,53,47,8,35,9,198,F
3,7,10,18,13,8,59,F
47,69,85,76,50,60,387,P
95,30,56,38,35,55,309,P
75,49,12,51,44,37,268,F
116,93,91,80,81,92,553,P
44,19,9,14,11,20,117,F
100,75,50,70,46,75,416,P
19,14,35,35,23,35,161,F
56,79,65,62,61,57,380,P
21,35,8,15,19,13,111,F
76,3,46,36,35,66,262,F
67,65,64,41,30,47,314,P
77,80,70,44,69,78,418,P
117,98,96,81,81,83,556,P
98,43,60,54,56,61,372,P
19,35,35,19,19,30,157,F
45,35,35,N\A,0,N\A,115,F
104,30,36,59,45,60,334,P
86,89,75,52,55,76,433,P
44,30,23,35,35,41,208,F
73,30,30,61,45,78,317,P
118,97,91,89,89,92,576,P
78,60,85,69,56,78,426,P
57,35,30,40,40,51,253,P
57,35,35,36,43,52,258,P
67,65,54,71,68,72,397,P
45,35,8,13,17,3,121,F
111,92,59,56,66,72,456,P
77,64,85,69,49,68,412,P
87,86,54,75,68,80,450,P
54,71,47,37,40,52,301,P
66,48,30,40,44,35,263,P
N\A,N\A,N\A,N\A,0,N\A,0,F
121,92,71,75,83,90,532,P
94,94,60,77,75,73,473,P
44,60,35,45,63,72,319,P
7,13,10,16,6,24,76,F
39,55,10,35,30,50,219,F
105,80,90,68,57,93,493,P
81,87,81,83,61,76,469,P
117,98,97,95,79,97,583,P
107,90,77,56,59,64,453,P
104,51,57,71,46,71,400,P
100,90,63,72,47,59,431,P
81,35,67,30,42,52,307,P
25,35,43,11,23,35,172,F
38,60,30,39,30,44,241,P
109,88,73,78,75,94,517,P
6,3,19,2,2,15,47,F
96,78,73,57,47,85,436,P
45,50,35,30,30,30,220,P
107,55,66,51,40,85,404,P
29,11,35,30,30,30,165,F
26,56,14,35,35,30,196,F
113,91,94,95,84,84,561,P
98,88,91,43,57,46,423,P
99,99,84,82,89,88,541,P
54,40,35,15,13,35,192,F
17,14,12,12,10,18,83,F
22,43,35,30,48,56,234,F
38,45,35,54,37,44,253,P
53,50,49,55,72,53,332,P
72,65,30,63,35,61,326,P
54,18,35,21,37,11,176,F
46,65,55,30,44,97,337,P
47,12,19,30,30,45,183,F
3,17,11,7,7,14,59,F
64,30,35,40,43,30,242,P
79,82,50,54,58,87,410,P
95,82,94,76,55,78,480,P
100,56,72,60,50,83,421,P
44,37,35,13,46,25,200,F
103,86,61,57,57,94,458,P
111,91,90,94,92,88,566,P
70,70,54,67,51,71,383,P
44,35,38,N\A,35,37,189,F
102,85,90,57,46,68,448,P
88,37,42,30,35,10,242,F
108,96,80,65,67,89,505,P
44,78,45,18,35,23,243,F
120,88,98,86,83,90,565,P
44,78,30,62,44,54,312,P
87,89,90,75,73,87,501,P
71,80,75,82,70,77,455,P
104,70,60,71,47,65,417,P
67,68,65,47,37,55,339,P
5,35,35,37,52,62,226,F
44,61,30,30,36,36,237,P
88,66,65,80,73,69,441,P
46,50,35,18,20,10,179,F
5,4,15,4,10,18,56,F
53,30,50,40,37,57,267,P
95,57,63,48,59,81,403,P
96,92,91,65,76,52,472,P
111,35,81,47,46,60,380,P
50,17,35,23,30,30,185,F
106,87,94,92,87,93,559,P
46,N\A,35,N\A,0,N\A,81,F
34,36,35,35,43,30,213,F
15,35,4,9,22,37,122,F
118,95,92,90,92,94,581,P
88,86,74,50,47,78,423,P
20,65,39,19,56,39,238,F
119,87,95,78,84,95,558,P
19,19,15,15,12,16,96,F
57,75,70,55,54,84,395,P
96,86,59,61,55,80,437,P
91,97,72,77,67,93,497,P
25,35,8,23,12,22,125,F
82,35,35,8,24,51,235,F
50,62,55,60,38,35,300,P
6,51,50,30,26,37,200,F
118,94,99,96,92,98,597,P
5,N\A,35,31,18,12,101,F
85,79,77,67,70,73,451,P
12,35,35,43,12,35,172,F
110,73,89,74,61,80,487,P
23,35,35,40,30,35,198,F
52,30,39,30,35,35,221,P
10,35,44,39,21,41,190,F
118,84,67,76,84,91,520,P
46,14,18,44,35,12,169,F
N\A,55,35,44,0,62,196,F
78,74,35,54,56,89,386,P
123,92,96,87,85,90,573,P
100,35,35,19,22,12,223,F
7,35,9,N\A,8,N\A,59,F
56,35,35,35,30,30,221,P
100,60,62,63,61,62,408,P
109,91,64,77,78,92,511,P
8,35,9,10,22,30,114,F
63,43,36,39,56,30,267,P
67,57,68,51,39,83,365,P
38,12,17,30,19,15,131,F
38,71,43,52,39,48,291,P
21,47,16,42,41,30,197,F
80,84,71,62,59,52,408,P
58,35,35,N\A,13,36,177,F
77,51,30,39,35,52,284,P
45,62,43,35,30,30,245,P
57,52,30,30,35,30,234,P
35,12,47,62,35,30,221,F
