L1_Marks_Class,L2_Marks_Class,L3_Marks_Class,S1_Marks_Class,S2_Marks_Class,S3_Marks_Class,URBAN_RURAL
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
1,1,2,2,PASS,1,U
2,1,1,1,1,1,U
PASS,2,PASS,PASS,FAIL,FAIL,U
1,2,PASS,PASS,PASS,PASS,U
PASS,1,PASS,1,2,1,U
PASS,PASS,PASS,PASS,PASS,2,U
FAIL,PASS,PASS,FAIL,FAIL,FAIL,U
D,1,1,1,1,D,U
PASS,PASS,PASS,PASS,PASS,PASS,U
PASS,FAIL,PASS,PASS,PASS,PASS,U
1,1,1,1,1,1,U
2,PASS,2,PASS,PASS,PASS,U
FAIL,2,PASS,PASS,PASS,2,U
PASS,PASS,PASS,PASS,PASS,PASS,R
D,D,1,1,1,1,U
FAIL,PASS,FAIL,PASS,FAIL,PASS,U
FAIL,FAIL,FAIL,PASS,FAIL,PASS,U
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,U
PASS,PASS,PASS,PASS,FAIL,PASS,U
1,2,1,PASS,PASS,PASS,U
2,PASS,FAIL,FAIL,FAIL,2,U
FAIL,PASS,FAIL,PASS,FAIL,PASS,U
1,1,D,2,1,1,U
PASS,PASS,PASS,PASS,PASS,PASS,U
1,PASS,FAIL,FAIL,PASS,FAIL,U
1,2,1,1,PASS,1,U
1,PASS,2,1,PASS,1,U
PASS,N/A,PASS,PASS,PASS,PASS,U
2,1,1,1,1,1,U
D,1,1,2,1,1,U
1,D,1,1,1,D,U
FAIL,PASS,PASS,PASS,PASS,PASS,U
2,1,1,1,1,1,R
FAIL,FAIL,FAIL,FAIL,FAIL,PASS,U
D,1,1,1,1,D,U
1,1,1,2,PASS,2,U
FAIL,PASS,PASS,2,PASS,PASS,U
PASS,2,PASS,PASS,PASS,1,U
PASS,PASS,2,1,2,PASS,U
FAIL,FAIL,FAIL,FAIL,PASS,FAIL,U
1,D,1,2,2,PASS,U
FAIL,PASS,FAIL,FAIL,PASS,PASS,U
1,1,1,PASS,2,1,U
PASS,PASS,PASS,PASS,PASS,2,U
PASS,PASS,FAIL,PASS,PASS,PASS,U
PASS,2,PASS,2,PASS,PASS,U
PASS,1,PASS,PASS,PASS,1,U
1,2,PASS,FAIL,PASS,FAIL,U
D,D,D,D,D,D,U
FAIL,PASS,PASS,PASS,FAIL,PASS,U
PASS,1,2,PASS,PASS,PASS,U
FAIL,PASS,PASS,PASS,PASS,PASS,U
D,1,PASS,PASS,FAIL,FAIL,R
FAIL,PASS,PASS,PASS,PASS,PASS,U
1,1,2,1,2,1,U
FAIL,FAIL,PASS,PASS,FAIL,PASS,U
1,PASS,PASS,PASS,2,PASS,U
PASS,PASS,PASS,1,PASS,1,U
2,PASS,PASS,PASS,PASS,PASS,U
1,2,2,1,PASS,PASS,U
FAIL,PASS,PASS,FAIL,PASS,FAIL,U
1,D,D,1,2,D,U
1,PASS,1,2,PASS,2,U
PASS,1,2,1,PASS,1,U
1,D,D,2,1,1,U
PASS,1,1,2,2,1,U
PASS,2,PASS,PASS,PASS,1,U
PASS,FAIL,FAIL,FAIL,FAIL,FAIL,U
1,PASS,PASS,1,PASS,PASS,U
PASS,PASS,FAIL,PASS,FAIL,PASS,U
1,PASS,PASS,PASS,PASS,1,U
1,1,1,2,PASS,PASS,U
2,1,1,PASS,2,1,U
1,PASS,1,2,PASS,2,U
PASS,PASS,PASS,PASS,PASS,PASS,U
FAIL,FAIL,FAIL,FAIL,FAIL,PASS,U
1,D,1,2,2,1,U
1,PASS,PASS,PASS,PASS,PASS,U
N/A,N/A,N/A,N/A,FAIL,N/A,U
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,U
FAIL,PASS,FAIL,FAIL,2,PASS,U
1,1,1,2,1,2,U
1,PASS,FAIL,PASS,PASS,1,U
PASS,D,1,1,1,D,U
2,PASS,PASS,PASS,2,PASS,U
PASS,1,1,PASS,PASS,1,U
PASS,PASS,PASS,2,PASS,1,U
2,2,PASS,PASS,PASS,1,U
PASS,1,1,2,2,1,U
PASS,PASS,FAIL,FAIL,FAIL,FAIL,U
2,PASS,FAIL,FAIL,FAIL,FAIL,U
1,1,PASS,PASS,2,1,U
2,1,PASS,PASS,PASS,PASS,U
D,D,D,D,D,D,U
PASS,PASS,FAIL,PASS,FAIL,FAIL,U
1,2,1,1,1,1,U
FAIL,PASS,PASS,PASS,PASS,1,U
FAIL,FAIL,FAIL,FAIL,PASS,PASS,U
PASS,PASS,PASS,FAIL,FAIL,PASS,U
1,PASS,FAIL,FAIL,FAIL,PASS,U
PASS,PASS,PASS,PASS,PASS,PASS,U
FAIL,PASS,FAIL,FAIL,PASS,PASS,U
PASS,D,PASS,1,2,1,U
FAIL,PASS,PASS,PASS,FAIL,FAIL,U
PASS,PASS,PASS,PASS,PASS,PASS,U
PASS,FAIL,FAIL,PASS,PASS,PASS,U
D,1,PASS,PASS,2,2,U
FAIL,PASS,PASS,FAIL,FAIL,FAIL,U
PASS,2,FAIL,FAIL,FAIL,FAIL,U
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,U
1,PASS,1,PASS,PASS,1,U
1,1,1,1,1,1,U
FAIL,PASS,FAIL,PASS,PASS,PASS,U
1,D,1,PASS,PASS,1,U
1,PASS,1,2,PASS,PASS,U
1,1,2,PASS,PASS,1,U
FAIL,PASS,PASS,PASS,PASS,PASS,U
PASS,FAIL,FAIL,PASS,FAIL,FAIL,U
PASS,FAIL,PASS,FAIL,FAIL,FAIL,U
1,1,1,1,PASS,1,U
FAIL,FAIL,FAIL,FAIL,FAIL,PASS,U
1,1,1,PASS,2,D,U
1,D,D,1,1,D,R
PASS,PASS,PASS,PASS,PASS,PASS,U
1,1,1,1,1,D,U
FAIL,2,PASS,PASS,PASS,PASS,U
PASS,PASS,1,PASS,PASS,PASS,U
PASS,PASS,PASS,PASS,FAIL,FAIL,U
D,D,1,PASS,PASS,1,U
FAIL,FAIL,FAIL,PASS,FAIL,FAIL,U
PASS,PASS,PASS,PASS,PASS,PASS,U
PASS,PASS,PASS,2,PASS,PASS,R
PASS,PASS,PASS,FAIL,FAIL,FAIL,U
1,2,2,1,PASS,2,U
FAIL,PASS,PASS,FAIL,PASS,FAIL,R
PASS,FAIL,FAIL,PASS,FAIL,FAIL,U
FAIL,2,2,1,PASS,1,U
D,PASS,PASS,PASS,PASS,PASS,U
PASS,2,PASS,PASS,PASS,PASS,U
D,D,1,2,2,1,U
1,D,D,1,1,D,U
PASS,PASS,PASS,PASS,PASS,2,U
2,PASS,PASS,PASS,PASS,PASS,U
FAIL,PASS,PASS,FAIL,FAIL,PASS,U
2,PASS,PASS,PASS,PASS,PASS,U
1,2,PASS,2,2,1,U
FAIL,PASS,PASS,PASS,PASS,PASS,U
D,D,D,D,1,1,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
FAIL,PASS,FAIL,FAIL,PASS,2,U
1,PASS,PASS,PASS,PASS,PASS,U
2,1,1,1,2,1,U
PASS,2,PASS,2,PASS,2,U
1,1,PASS,PASS,2,1,U
PASS,PASS,PASS,1,PASS,2,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
1,D,D,1,1,1,U
D,PASS,PASS,PASS,2,PASS,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
1,PASS,PASS,PASS,PASS,PASS,U
PASS,PASS,FAIL,FAIL,PASS,PASS,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
PASS,2,FAIL,FAIL,FAIL,PASS,U
1,1,D,1,PASS,1,U
1,1,1,1,2,1,U
PASS,PASS,FAIL,FAIL,FAIL,FAIL,U
FAIL,PASS,PASS,PASS,FAIL,FAIL,U
1,D,D,1,D,1,U
PASS,PASS,PASS,PASS,PASS,1,U
FAIL,2,FAIL,FAIL,PASS,FAIL,U
2,PASS,PASS,PASS,PASS,PASS,U
PASS,N/A,N/A,PASS,PASS,2,R
FAIL,FAIL,PASS,FAIL,FAIL,FAIL,U
1,PASS,PASS,PASS,PASS,PASS,R
D,1,D,1,1,D,U
PASS,PASS,PASS,PASS,PASS,PASS,U
D,D,D,1,1,D,U
PASS,2,1,2,PASS,2,U
FAIL,PASS,1,FAIL,FAIL,2,U
D,D,D,D,D,D,U
2,PASS,PASS,1,PASS,1,U
PASS,FAIL,FAIL,FAIL,FAIL,FAIL,U
N/A,N/A,N/A,N/A,FAIL,N/A,R
PASS,PASS,PASS,PASS,PASS,PASS,U
1,D,1,2,1,1,U
1,1,PASS,2,1,1,U
FAIL,2,FAIL,PASS,PASS,FAIL,U
1,1,PASS,PASS,PASS,2,U
FAIL,PASS,PASS,PASS,PASS,FAIL,R
N/A,N/A,N/A,N/A,FAIL,N/A,U
1,D,PASS,1,1,D,U
1,1,1,2,1,1,U
1,2,PASS,PASS,PASS,PASS,R
1,PASS,FAIL,FAIL,PASS,2,U
PASS,PASS,PASS,PASS,PASS,2,U
PASS,PASS,PASS,PASS,PASS,PASS,U
1,PASS,1,2,2,2,U
PASS,PASS,PASS,PASS,PASS,PASS,U
FAIL,2,PASS,PASS,FAIL,2,U
2,PASS,PASS,2,PASS,PASS,U
PASS,1,PASS,2,2,2,U
PASS,PASS,PASS,PASS,PASS,PASS,U
PASS,FAIL,PASS,PASS,PASS,PASS,U
FAIL,PASS,PASS,FAIL,FAIL,PASS,U
1,1,1,PASS,PASS,PASS,U
2,PASS,PASS,PASS,PASS,PASS,U
N/A,PASS,2,1,PASS,1,U
1,FAIL,FAIL,PASS,PASS,PASS,U
1,D,1,1,2,2,U
PASS,FAIL,N/A,PASS,PASS,N/A,U
PASS,FAIL,FAIL,FAIL,FAIL,PASS,U
FAIL,PASS,FAIL,PASS,FAIL,FAIL,U
1,1,1,1,PASS,PASS,U
1,2,2,2,PASS,PASS,U
2,PASS,1,1,2,1,U
1,D,1,1,2,1,U
1,1,1,1,PASS,1,U
PASS,FAIL,PASS,FAIL,FAIL,PASS,U
2,PASS,PASS,1,PASS,PASS,U
PASS,PASS,PASS,FAIL,FAIL,FAIL,U
D,D,D,D,D,D,U
1,PASS,1,1,2,2,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
FAIL,2,PASS,FAIL,FAIL,PASS,U
D,D,D,1,1,2,U
PASS,PASS,PASS,PASS,PASS,PASS,U
PASS,PASS,PASS,FAIL,FAIL,PASS,R
1,2,PASS,1,2,1,U
FAIL,FAIL,PASS,FAIL,FAIL,2,U
PASS,PASS,PASS,PASS,PASS,PASS,R
PASS,FAIL,FAIL,FAIL,FAIL,FAIL,U
PASS,PASS,PASS,1,PASS,PASS,U
2,2,PASS,1,1,1,U
FAIL,FAIL,FAIL,FAIL,FAIL,PASS,U
PASS,2,PASS,PASS,PASS,2,U
PASS,FAIL,PASS,2,PASS,PASS,U
PASS,1,PASS,PASS,PASS,1,U
1,PASS,PASS,1,PASS,1,U
1,1,PASS,PASS,2,PASS,U
2,PASS,PASS,PASS,PASS,2,U
FAIL,PASS,PASS,FAIL,PASS,PASS,U
FAIL,PASS,PASS,PASS,PASS,PASS,U
1,1,D,1,PASS,2,U
PASS,PASS,PASS,2,PASS,PASS,U
1,FAIL,FAIL,FAIL,FAIL,FAIL,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
1,PASS,2,D,1,1,U
1,1,1,1,2,1,U
1,D,1,1,PASS,PASS,U
PASS,PASS,PASS,FAIL,FAIL,PASS,R
FAIL,PASS,PASS,PASS,PASS,PASS,U
PASS,PASS,PASS,PASS,PASS,PASS,R
1,1,2,2,1,D,U
2,1,PASS,2,PASS,1,U
1,1,1,2,PASS,1,U
FAIL,2,FAIL,FAIL,PASS,PASS,U
PASS,PASS,PASS,PASS,PASS,2,U
FAIL,PASS,PASS,PASS,PASS,2,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
1,2,1,1,PASS,1,U
PASS,PASS,PASS,1,2,PASS,U
FAIL,FAIL,FAIL,PASS,FAIL,FAIL,U
FAIL,PASS,PASS,PASS,PASS,FAIL,U
D,1,1,1,2,1,U
FAIL,PASS,PASS,PASS,FAIL,1,R
PASS,PASS,PASS,PASS,PASS,2,U
1,1,PASS,1,PASS,1,U
1,D,D,1,1,1,U
FAIL,PASS,PASS,PASS,PASS,PASS,R
1,1,PASS,PASS,PASS,1,U
FAIL,1,PASS,FAIL,PASS,2,U
PASS,PASS,PASS,PASS,PASS,PASS,U
1,PASS,PASS,PASS,PASS,1,U
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,U
2,PASS,PASS,PASS,PASS,PASS,U
PASS,PASS,FAIL,FAIL,FAIL,FAIL,U
1,1,1,1,PASS,PASS,U
PASS,FAIL,PASS,FAIL,FAIL,FAIL,U
FAIL,PASS,FAIL,PASS,PASS,FAIL,U
1,D,2,1,2,1,U
D,D,1,D,D,D,U
1,PASS,PASS,PASS,PASS,PASS,U
2,FAIL,PASS,2,PASS,2,U
PASS,PASS,PASS,PASS,PASS,PASS,R
FAIL,PASS,PASS,PASS,PASS,PASS,U
FAIL,PASS,PASS,FAIL,FAIL,PASS,R
1,D,1,1,1,1,U
1,FAIL,FAIL,D,1,1,U
FAIL,PASS,PASS,FAIL,PASS,2,U
PASS,PASS,PASS,PASS,2,2,U
1,1,1,D,1,D,U
FAIL,FAIL,PASS,FAIL,FAIL,FAIL,U
2,1,PASS,2,2,1,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,R
D,PASS,PASS,PASS,2,PASS,U
PASS,PASS,PASS,1,PASS,2,U
PASS,PASS,PASS,PASS,PASS,FAIL,U
1,1,PASS,PASS,PASS,2,U
PASS,FAIL,PASS,FAIL,FAIL,PASS,U
1,1,1,1,PASS,2,U
PASS,PASS,PASS,PASS,2,PASS,U
PASS,PASS,PASS,PASS,FAIL,FAIL,R
D,1,1,1,1,1,U
1,1,PASS,PASS,PASS,PASS,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
PASS,PASS,FAIL,PASS,FAIL,PASS,U
D,D,D,D,1,D,U
2,PASS,PASS,PASS,PASS,PASS,U
1,1,2,2,PASS,1,U
D,D,D,1,1,1,U
D,D,D,1,1,1,U
PASS,PASS,PASS,FAIL,FAIL,FAIL,U
N/A,N/A,N/A,N/A,FAIL,N/A,U
FAIL,N/A,N/A,N/A,FAIL,N/A,U
PASS,PASS,PASS,PASS,FAIL,PASS,U
1,D,1,1,1,1,U
PASS,PASS,PASS,FAIL,FAIL,FAIL,U
2,FAIL,PASS,FAIL,FAIL,PASS,U
1,1,1,2,2,1,U
1,PASS,PASS,2,PASS,1,U
1,D,1,1,PASS,2,U
1,2,1,1,2,1,U
2,PASS,1,PASS,PASS,1,U
PASS,PASS,PASS,PASS,FAIL,PASS,U
FAIL,PASS,FAIL,FAIL,FAIL,PASS,U
PASS,2,PASS,2,FAIL,FAIL,R
N/A,PASS,PASS,1,1,1,U
2,PASS,PASS,PASS,PASS,2,U
PASS,PASS,PASS,PASS,PASS,PASS,R
FAIL,PASS,PASS,PASS,PASS,FAIL,U
2,1,PASS,PASS,PASS,PASS,U
PASS,PASS,PASS,PASS,PASS,PASS,U
1,1,2,2,2,2,U
D,1,1,1,1,1,U
PASS,PASS,PASS,2,PASS,PASS,U
D,D,D,1,1,D,U
FAIL,PASS,FAIL,FAIL,PASS,FAIL,U
1,2,2,1,PASS,2,U
PASS,PASS,PASS,FAIL,PASS,FAIL,U
N/A,FAIL,FAIL,N/A,FAIL,N/A,U
D,D,D,D,D,D,U
PASS,1,PASS,PASS,PASS,2,U
FAIL,FAIL,PASS,PASS,FAIL,FAIL,U
FAIL,1,FAIL,FAIL,PASS,1,U
PASS,1,1,2,2,1,U
PASS,FAIL,PASS,PASS,FAIL,PASS,U
1,PASS,2,1,1,1,U
1,2,1,1,PASS,1,U
1,PASS,PASS,PASS,PASS,PASS,R
PASS,1,PASS,2,2,1,U
PASS,PASS,PASS,PASS,PASS,PASS,U
N/A,N/A,N/A,N/A,FAIL,N/A,U
FAIL,2,PASS,PASS,PASS,2,U
PASS,1,PASS,PASS,2,1,U
PASS,PASS,PASS,FAIL,FAIL,PASS,U
1,D,1,1,1,D,R
2,FAIL,PASS,FAIL,PASS,PASS,U
PASS,PASS,PASS,PASS,PASS,PASS,U
PASS,2,1,PASS,PASS,2,U
PASS,PASS,PASS,FAIL,PASS,PASS,U
2,PASS,PASS,PASS,PASS,2,U
1,PASS,2,PASS,PASS,1,R
1,PASS,PASS,PASS,PASS,PASS,U
1,PASS,PASS,PASS,PASS,2,U
FAIL,PASS,PASS,FAIL,FAIL,FAIL,U
N/A,N/A,N/A,N/A,FAIL,N/A,U
PASS,FAIL,PASS,FAIL,FAIL,1,U
PASS,2,PASS,PASS,1,1,U
D,D,D,1,1,D,U
N/A,N/A,N/A,N/A,FAIL,N/A,U
1,2,PASS,2,PASS,1,U
PASS,2,2,PASS,PASS,2,U
1,1,1,1,D,D,U
2,PASS,PASS,PASS,PASS,PASS,R
D,D,D,1,1,D,U
FAIL,PASS,2,FAIL,FAIL,PASS,U
FAIL,PASS,2,PASS,PASS,2,U
1,D,D,D,D,D,U
PASS,1,FAIL,PASS,PASS,PASS,U
PASS,1,2,1,PASS,1,U
PASS,PASS,PASS,PASS,PASS,PASS,R
1,1,1,2,2,1,U
PASS,1,2,2,1,PASS,U
D,PASS,D,PASS,PASS,2,U
FAIL,FAIL,PASS,PASS,FAIL,PASS,U
1,PASS,D,1,1,1,U
2,D,2,1,2,D,U
1,1,1,2,2,1,U
D,D,D,D,1,D,U
1,1,1,PASS,1,D,U
1,D,1,D,1,D,U
2,2,2,PASS,PASS,1,U
2,D,D,1,2,1,R
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
FAIL,FAIL,D,FAIL,PASS,FAIL,U
1,1,PASS,1,2,2,U
PASS,D,1,2,2,1,U
1,2,1,PASS,PASS,2,U
1,D,D,1,1,1,U
PASS,PASS,2,PASS,PASS,PASS,U
D,D,D,1,1,1,U
D,D,D,1,D,D,R
D,D,D,D,D,D,U
1,1,2,2,PASS,1,U
1,PASS,1,FAIL,FAIL,FAIL,U
1,PASS,PASS,1,2,D,U
PASS,PASS,PASS,PASS,PASS,PASS,R
1,PASS,PASS,PASS,PASS,PASS,U
1,D,1,1,2,1,U
FAIL,PASS,PASS,FAIL,PASS,FAIL,U
2,D,PASS,1,1,1,U
1,PASS,2,PASS,PASS,PASS,U
PASS,1,1,PASS,2,1,U
PASS,1,2,PASS,PASS,1,U
PASS,PASS,PASS,PASS,PASS,2,U
1,1,1,D,1,D,U
1,PASS,1,PASS,1,1,U
FAIL,1,PASS,PASS,FAIL,FAIL,U
2,1,PASS,1,1,1,U
2,1,PASS,2,PASS,2,U
N/A,N/A,N/A,N/A,FAIL,N/A,U
PASS,1,1,PASS,PASS,2,U
1,1,2,PASS,PASS,2,U
PASS,PASS,PASS,PASS,PASS,PASS,U
N/A,N/A,N/A,N/A,FAIL,N/A,U
1,PASS,PASS,2,PASS,PASS,R
FAIL,FAIL,PASS,PASS,PASS,PASS,U
D,D,D,D,D,D,U
PASS,1,1,1,1,D,U
1,PASS,PASS,PASS,PASS,PASS,U
PASS,PASS,PASS,PASS,PASS,2,U
1,D,1,1,1,2,U
1,PASS,2,PASS,PASS,PASS,U
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,U
D,D,D,1,1,D,U
FAIL,2,PASS,FAIL,PASS,PASS,U
1,1,PASS,PASS,PASS,PASS,U
1,2,1,1,2,2,U
FAIL,PASS,PASS,2,FAIL,PASS,U
D,PASS,D,2,1,2,U
1,D,D,D,1,D,U
N/A,N/A,PASS,N/A,FAIL,N/A,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
D,D,D,1,D,D,U
PASS,1,PASS,PASS,PASS,1,U
2,PASS,1,1,PASS,PASS,U
2,FAIL,PASS,PASS,PASS,2,U
1,1,2,PASS,PASS,2,U
1,1,1,1,PASS,2,U
1,1,1,1,2,1,U
2,2,PASS,2,PASS,PASS,U
2,FAIL,FAIL,PASS,FAIL,PASS,U
2,PASS,PASS,FAIL,FAIL,2,U
1,2,PASS,1,2,1,U
PASS,2,1,1,2,1,U
PASS,PASS,1,PASS,PASS,2,U
1,PASS,PASS,PASS,PASS,PASS,U
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,U
1,1,PASS,PASS,2,1,U
1,1,1,1,2,1,U
FAIL,PASS,PASS,FAIL,FAIL,FAIL,U
D,D,D,D,1,D,U
1,2,1,1,1,1,U
FAIL,FAIL,FAIL,FAIL,PASS,PASS,U
PASS,2,PASS,1,1,2,U
2,PASS,PASS,PASS,PASS,PASS,U
PASS,PASS,2,PASS,PASS,1,U
N/A,N/A,N/A,N/A,FAIL,N/A,U
D,1,D,1,1,1,U
FAIL,PASS,PASS,PASS,FAIL,PASS,U
1,PASS,2,1,2,1,U
FAIL,FAIL,FAIL,FAIL,FAIL,PASS,U
PASS,PASS,PASS,PASS,PASS,PASS,U
1,PASS,1,1,2,D,U
FAIL,FAIL,FAIL,FAIL,PASS,FAIL,U
1,D,D,FAIL,D,D,U
D,D,D,D,D,D,U
D,D,D,D,D,D,U
FAIL,PASS,FAIL,FAIL,FAIL,FAIL,U
PASS,2,PASS,1,2,PASS,U
PASS,PASS,PASS,FAIL,PASS,FAIL,U
FAIL,PASS,PASS,2,FAIL,PASS,U
1,2,1,1,2,D,U
1,2,1,1,2,2,U
PASS,N/A,N/A,PASS,2,N/A,U
2,1,D,2,PASS,1,U
1,D,1,1,1,1,U
D,D,1,1,D,D,R
D,D,D,1,1,D,U
1,2,1,PASS,PASS,2,U
1,PASS,PASS,FAIL,PASS,2,U
D,1,D,1,PASS,2,U
1,1,1,PASS,1,1,U
1,D,1,1,1,1,U
1,1,2,1,1,1,U
1,PASS,PASS,PASS,PASS,1,U
1,1,1,2,1,D,U
D,D,D,FAIL,D,D,U
1,PASS,PASS,PASS,PASS,1,U
PASS,FAIL,FAIL,FAIL,FAIL,PASS,U
PASS,FAIL,PASS,FAIL,PASS,PASS,U
1,1,2,1,2,PASS,U
1,1,PASS,2,PASS,2,U
PASS,1,1,PASS,PASS,1,U
1,D,1,1,1,2,U
1,1,1,PASS,1,1,U
D,D,D,D,D,D,U
FAIL,PASS,PASS,FAIL,FAIL,FAIL,R
1,1,1,1,1,D,U
1,PASS,PASS,PASS,PASS,1,U
D,D,D,1,D,D,U
D,2,2,1,PASS,D,U
D,D,D,1,1,D,U
1,1,D,2,2,1,U
FAIL,PASS,PASS,FAIL,PASS,FAIL,U
D,D,D,1,D,D,U
PASS,2,PASS,PASS,PASS,PASS,U
FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,U
1,D,D,1,D,D,U
1,PASS,PASS,1,PASS,2,U
D,D,PASS,2,2,1,U
D,D,D,D,D,D,U
PASS,PASS,PASS,PASS,PASS,1,U
1,1,1,PASS,1,1,U
2,PASS,PASS,PASS,PASS,PASS,R
1,PASS,PASS,2,PASS,PASS,U
1,D,1,1,1,1,U
PASS,PASS,1,PASS,PASS,PASS,U
1,PASS,2,2,PASS,PASS,U
1,1,D,PASS,PASS,1,U
PASS,1,PASS,2,PASS,PASS,U
PASS,1,2,PASS,PASS,PASS,U
2,PASS,PASS,PASS,PASS,2,R
1,1,1,1,1,D,U
FAIL,FAIL,PASS,PASS,FAIL,PASS,U
