L1_MARKS_CORRECTED,L1_Marks_Corrected,L1_RESULT,L2_MARKS_CORRECTED,L2_RESULT,L3_MARKS_CORRECTED,L3_RESULT,S1_MARKS_CORRECTED,S1_RESULT,S2_MARKS_CORRECTED,S2_RESULT,S3_MARKS_CORRECTED,S3_RESULT,NRC_CLASS,NRC_RESULT
89,71,P,89,P,85,P,84,P,88,P,83,P,1,P
49,39,P,30,P,30,P,30,P,45,P,62,P,PASS,P
15,12,F,52,P,14,F,18,F,35,P,19,F,FAIL,F
71,56,P,30,P,30,P,47,P,36,P,36,P,PASS,P
53,42,P,N/A,A,N/A,A,35,P,44,P,50,P,FAIL,F
20,16,F,17,F,35,P,8,F,9,F,18,F,FAIL,F
86,68,P,35,P,30,P,47,P,30,P,30,P,PASS,P
113,90,P,80,P,90,P,77,P,66,P,88,P,1,P
38,30,P,30,P,47,P,49,P,35,P,30,P,PASS,P
115,92,P,90,P,93,P,80,P,81,P,97,P,D   ,P
56,44,P,53,P,62,P,55,P,37,P,59,P,2,P
33,26,F,38,P,60,P,19,F,24,F,56,P,FAIL,F
122,97,P,96,P,93,P,88,P,94,P,99,P,D   ,P
73,58,P,30,P,35,P,65,P,37,P,81,P,2,P
38,30,F,11,F,10,F,22,F,19,F,11,F,FAIL,F
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
61,48,P,45,P,37,P,31,P,44,P,35,P,PASS,P
76,60,P,89,P,65,P,53,P,75,P,75,P,1,P
103,82,P,83,P,46,P,58,P,61,P,84,P,1,P
18,14,F,53,P,14,F,37,P,35,P,23,F,FAIL,F
99,79,P,65,P,35,P,30,P,47,P,56,P,2,P
11,8,F,35,P,35,P,30,F,30,F,21,F,FAIL,F
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
77,61,P,85,P,43,P,62,P,71,P,87,P,1,P
90,72,P,71,P,64,P,59,P,61,P,69,P,1,P
76,60,P,57,P,30,P,30,P,40,P,47,P,PASS,P
100,80,P,35,P,13,F,22,F,36,P,53,P,FAIL,F
56,44,P,30,P,30,P,30,P,40,P,54,P,PASS,P
38,30,P,30,P,35,P,44,P,44,P,40,P,PASS,P
79,63,P,43,P,79,P,53,P,58,P,54,P,2,P
44,35,P,35,P,37,P,41,P,30,P,38,P,PASS,P
10,8,F,51,P,35,P,38,P,23,F,54,P,FAIL,F
65,52,P,49,P,30,P,52,P,36,P,40,P,PASS,P
47,37,P,61,P,43,P,56,P,50,P,57,P,2,P
45,36,P,35,P,35,P,35,P,39,P,35,P,PASS,P
39,31,F,11,F,35,P,37,P,37,P,30,F,FAIL,F
3,2,F,35,P,35,P,11,F,16,F,37,P,FAIL,F
80,64,P,62,P,74,P,36,P,35,P,37,P,2,P
70,56,P,48,P,30,P,35,P,35,P,39,P,PASS,P
N/A,N/A,A,37,P,50,P,65,P,42,P,80,P,FAIL,F
90,72,P,12,F,14,F,30,F,30,F,30,F,FAIL,F
84,67,P,89,P,70,P,65,P,59,P,53,P,1,P
44,35,P,10,F,N/A,A,36,P,35,P,N/A,A,FAIL,F
44,35,P,5,F,19,F,18,F,22,F,36,P,FAIL,F
3,2,F,36,P,8,F,36,P,13,F,22,F,FAIL,F
100,80,P,61,P,72,P,63,P,46,P,41,P,1,P
83,66,P,57,P,54,P,50,P,30,P,35,P,PASS,P
68,54,P,35,P,70,P,81,P,59,P,75,P,1,P
100,80,P,93,P,80,P,61,P,52,P,68,P,1,P
92,73,P,70,P,71,P,64,P,45,P,65,P,1,P
52,41,P,13,F,35,P,15,F,14,F,35,P,FAIL,F
72,57,P,31,P,40,P,67,P,30,P,40,P,PASS,P
44,35,P,35,P,35,P,12,F,14,F,10,F,FAIL,F
118,94,P,94,P,88,P,85,P,93,P,91,P,D   ,P
83,66,P,41,P,65,P,82,P,53,P,58,P,1,P
2,1,F,7,F,5,F,2,F,1,F,1,F,FAIL,F
25,20,F,50,P,35,P,20,F,20,F,42,P,FAIL,F
110,88,P,88,P,85,P,61,P,67,P,58,P,1,P
46,36,P,30,P,45,P,35,P,30,P,41,P,PASS,P
44,35,P,35,P,35,P,17,F,16,F,35,P,FAIL,F
89,71,P,58,P,42,P,63,P,54,P,64,P,2,P
20,16,F,17,F,39,P,12,F,23,F,50,P,FAIL,F
38,30,P,30,P,30,P,41,P,42,P,46,P,PASS,P
44,35,P,9,F,4,F,14,F,18,F,10,F,FAIL,F
54,43,P,44,P,30,P,61,P,38,P,35,P,PASS,P
66,52,P,52,P,47,P,63,P,66,P,72,P,2,P
6,4,F,11,F,17,F,16,F,18,F,37,P,FAIL,F
58,46,P,50,P,35,P,37,P,35,P,51,P,PASS,P
44,35,P,14,F,35,P,53,P,40,P,44,P,FAIL,F
39,31,P,71,P,30,P,35,P,46,P,66,P,PASS,P
95,76,P,47,P,45,P,75,P,47,P,62,P,2,P
92,73,P,77,P,39,P,42,P,55,P,44,P,2,P
65,52,P,32,P,41,P,35,P,30,P,50,P,PASS,P
15,12,F,35,P,35,P,14,F,31,F,36,P,FAIL,F
8,6,F,35,P,35,P,42,P,40,P,47,P,FAIL,F
89,71,P,82,P,90,P,71,P,48,P,53,P,1,P
60,48,P,46,P,39,P,50,P,36,P,36,P,PASS,P
75,60,P,16,F,10,F,12,F,17,F,24,F,FAIL,F
7,5,F,6,F,5,F,13,F,6,F,9,F,FAIL,F
95,76,P,44,P,55,P,86,P,64,P,65,P,1,P
93,74,P,77,P,76,P,71,P,53,P,74,P,1,P
106,84,P,90,P,61,P,65,P,36,P,46,P,1,P
46,36,P,35,P,35,P,10,F,8,F,30,F,FAIL,F
13,10,F,35,P,35,P,42,P,42,P,44,P,FAIL,F
48,38,P,35,P,35,P,30,P,36,P,35,P,PASS,P
81,64,P,81,P,57,P,57,P,71,P,92,P,1,P
70,56,P,61,P,45,P,52,P,41,P,74,P,2,P
86,68,P,72,P,84,P,53,P,31,P,71,P,1,P
2,1,F,53,P,7,F,12,F,30,F,46,P,FAIL,F
56,44,P,35,P,30,P,30,P,30,P,50,P,PASS,P
21,16,F,38,P,35,P,30,F,30,F,53,P,FAIL,F
28,22,F,7,F,11,F,19,F,16,F,7,F,FAIL,F
86,68,P,52,P,68,P,66,P,48,P,74,P,1,P
51,40,P,41,P,41,P,60,P,50,P,44,P,PASS,P
13,10,F,15,F,11,F,30,F,10,F,8,F,FAIL,F
34,27,F,35,P,42,P,35,P,35,P,24,F,FAIL,F
121,96,P,63,P,75,P,68,P,55,P,63,P,1,P
15,12,F,35,P,37,P,43,P,21,F,64,P,FAIL,F
52,41,P,30,P,30,P,35,P,30,P,56,P,PASS,P
87,69,P,60,P,41,P,76,P,44,P,65,P,2,P
106,84,P,87,P,92,P,81,P,81,P,76,P,1,P
28,22,F,35,P,35,P,36,P,30,F,43,P,FAIL,F
84,67,P,83,P,44,P,30,P,30,P,81,P,2,P
18,14,F,60,P,35,P,12,F,38,P,57,P,FAIL,F
58,46,P,30,P,30,P,46,P,37,P,30,P,PASS,P
95,76,P,42,P,30,P,49,P,40,P,61,P,2,P
20,16,F,35,P,13,F,20,F,15,F,19,F,FAIL,F
70,56,P,30,P,30,P,46,P,30,P,45,P,PASS,P
44,35,P,35,P,11,F,12,F,21,F,12,F,FAIL,F
83,66,P,77,P,61,P,63,P,44,P,36,P,2,P
45,36,P,19,F,35,P,10,F,7,F,11,F,FAIL,F
36,28,F,46,P,8,F,40,P,35,P,24,F,FAIL,F
76,60,P,86,P,58,P,74,P,58,P,70,P,1,P
121,96,P,98,P,79,P,91,P,85,P,94,P,D   ,P
89,71,P,45,P,46,P,30,P,35,P,30,P,PASS,P
65,52,P,13,F,37,P,55,P,36,P,56,P,FAIL,F
44,35,P,35,P,44,P,46,P,44,P,35,P,PASS,P
22,17,F,35,P,37,P,39,P,30,F,37,P,FAIL,F
4,3,F,43,P,35,P,22,F,0,F,35,P,FAIL,F
101,80,P,92,P,83,P,77,P,72,P,83,P,1,P
85,68,P,0,NA,0,NA,91,P,80,P,82,P,1,P
12,9,F,41,P,37,P,26,F,35,P,51,P,FAIL,F
50,40,P,35,P,35,P,43,P,59,P,52,P,PASS,P
87,69,P,83,P,73,P,88,P,63,P,87,P,1,P
3,2,F,19,F,35,P,17,F,9,F,22,F,FAIL,F
63,50,P,61,P,46,P,54,P,50,P,73,P,2,P
8,6,F,10,F,4,F,6,F,5,F,8,F,FAIL,F
111,88,P,30,P,35,P,39,P,51,P,37,P,PASS,P
38,30,P,44,P,47,P,61,P,30,P,53,P,PASS,P
38,30,F,41,P,35,P,38,P,49,P,14,F,FAIL,F
92,73,P,81,P,46,P,46,P,44,P,50,P,2,P
56,44,P,12,F,42,P,12,F,20,F,47,P,FAIL,F
91,72,P,76,P,78,P,60,P,48,P,53,P,1,P
44,35,P,35,P,30,P,46,P,53,P,37,P,PASS,P
62,49,P,35,P,40,P,30,F,22,F,18,F,FAIL,F
108,86,P,84,P,83,P,72,P,71,P,79,P,1,P
88,70,P,60,P,42,P,38,P,42,P,38,P,PASS,P
7,5,F,14,F,11,F,14,F,12,F,17,F,FAIL,F
39,31,F,42,P,18,F,30,F,17,F,30,F,FAIL,F
112,89,P,93,P,98,P,91,P,75,P,89,P,D   ,P
72,57,P,30,P,30,P,30,P,35,P,35,P,PASS,P
82,65,P,67,P,53,P,56,P,30,P,72,P,2,P
111,88,P,94,P,88,P,70,P,67,P,75,P,1,P
107,85,P,93,P,88,P,70,P,70,P,65,P,1,P
58,46,P,35,P,35,P,17,F,15,F,10,F,FAIL,F
N/A,N/A,A,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
4,3,F,N/A,A,N/A,A,N/A,A,0,F,N/A,A,FAIL,F
44,35,P,35,P,35,P,35,P,0,F,35,P,FAIL,F
86,68,P,89,P,75,P,71,P,69,P,67,P,1,P
52,41,P,35,P,35,P,15,F,19,F,18,F,FAIL,F
70,56,P,10,F,46,P,24,F,24,F,35,P,FAIL,F
96,76,P,84,P,80,P,57,P,51,P,69,P,1,P
86,68,P,41,P,45,P,50,P,41,P,70,P,2,P
98,78,P,90,P,68,P,71,P,38,P,55,P,1,P
100,80,P,52,P,76,P,79,P,57,P,66,P,1,P
65,52,P,41,P,61,P,46,P,35,P,63,P,PASS,P
44,35,P,35,P,35,P,35,P,20,F,35,P,FAIL,F
14,11,F,35,P,15,F,25,F,15,F,38,P,FAIL,F
58,46,P,53,P,35,P,51,P,22,F,20,F,FAIL,F
N/A,N/A,A,35,P,41,P,63,P,68,P,68,P,FAIL,F
68,54,P,35,P,30,P,35,P,30,P,50,P,PASS,P
53,42,P,35,P,36,P,43,P,30,P,41,P,PASS,P
16,12,F,35,P,35,P,39,P,35,P,15,F,FAIL,F
68,54,P,75,P,35,P,32,P,40,P,35,P,PASS,P
54,43,P,30,P,35,P,35,P,37,P,35,P,PASS,P
77,61,P,74,P,54,P,58,P,53,P,52,P,2,P
109,87,P,74,P,82,P,68,P,62,P,71,P,1,P
59,47,P,30,P,30,P,57,P,30,P,30,P,PASS,P
116,92,P,93,P,91,P,70,P,77,P,97,P,D   ,P
